time,open,high,low,close,Volume,Volume MA
1585617300,23666,23666,23384,23384,2,NaN
1585617900,23518,23588,23518,23548,4,NaN
1585618200,23515,23515,23507,23507,3,NaN
1585618500,23470,23470,23445,23445,2,NaN
1585618800,23386,23425,23350,23350,9,NaN
1585619100,23380,23400,23380,23383,4,NaN
1585619400,23395,23444,23395,23438,7,NaN
1585619700,23468,23470,23421,23421,5,NaN
1585620000,23438,23464,23381,23381,9,NaN
1585620300,23386,23404,23380,23394,6,NaN
1585620600,23385,23395,23360,23360,6,NaN
1585620900,23360,23360,23360,23360,1,NaN
1585621200,23400,23400,23400,23400,1,NaN
1585621800,23444,23444,23444,23444,2,NaN
1585622100,23461,23461,23444,23444,5,NaN
1585622700,23418,23418,23418,23418,1,NaN
1585623000,23397,23410,23397,23410,2,NaN
1585623300,23448,23448,23448,23448,1,NaN
1585623600,23390,23390,23330,23330,12,NaN
1585623900,23325,23325,23284,23284,11,NaN
1585624200,23278,23289,23278,23289,2,NaN
1585624500,23271,23271,23271,23271,1,NaN
1585624800,23296,23305,23296,23305,4,NaN
1585625100,23310,23317,23310,23310,3,NaN
1585625400,23310,23346,23310,23346,10,NaN
1585625700,23323,23323,23323,23323,1,NaN
1585626000,23324,23356,23324,23356,13,NaN
1585626600,23326,23326,23326,23326,1,NaN
1585626900,23350,23350,23350,23350,1,NaN
1585630500,23275,23275,23275,23275,1,NaN
1585630800,23217,23222,23140,23140,8,NaN
1585631100,23154,23244,23154,23244,10,NaN
1585631400,23226,23226,23194,23194,10,NaN
1585631700,23215,23250,23213,23250,5,NaN
1585632000,23265,23265,23260,23260,2,NaN
1585632300,23281,23296,23281,23296,3,NaN
1585632600,23285,23285,23285,23285,1,NaN
1585632900,23272,23288,23270,23288,3,NaN
1585633200,23298,23298,23280,23280,2,NaN
1585633500,23307,23333,23307,23333,2,NaN
1585633800,23300,23300,23236,23236,7,NaN
1585634100,23293,23297,23293,23297,2,NaN
1585634400,23250,23284,23238,23238,6,NaN
1585634700,23233,23245,23225,23245,3,NaN
1585635000,23276,23276,23276,23276,1,NaN
1585635300,23284,23284,23284,23284,1,NaN
1585635600,23360,23360,23315,23315,3,NaN
1585635900,23337,23337,23337,23337,1,NaN
1585636200,23360,23362,23355,23355,4,NaN
1585636800,23306,23306,23304,23304,2,NaN
