time,open,high,low,close,Volume,Volume MA,ParabolicSAR,Plot
1483716900,22165,22165,22165,22165,1,NaN,NaN,NaN
1483924500,22236,22236,22208,22210,10,NaN,22165,-0.9285714285714286
1483925400,22223,22223,22170,22170,3,NaN,22236,-1
1483925700,22200,22210,22200,22210,2,NaN,22236,1
1483926000,22263,22263,22250,22250,13,NaN,22170,-1
1483926300,22255,22265,22255,22262,4,NaN,22179.3,0.7
1483926600,22276,22308,22276,22308,6,NaN,22189.584,1
1483926900,22304,22304,22304,22304,1,NaN,22206.162239999998,NaN
1483927200,22237,22238,22237,22238,2,NaN,22220.419526399997,1
1483928100,22230,22230,22230,22230,1,NaN,22308,NaN
1483928400,22199,22199,22199,22199,1,NaN,22300.2,NaN
1483928700,22198,22198,22184,22184,12,NaN,22288.056,-1
1483929000,22160,22180,22160,22180,3,NaN,22273.48816,1
1483929300,22173,22173,22173,22173,1,NaN,22255.3300544,NaN
1483930500,22190,22190,22190,22190,6,NaN,22240.077245696,NaN
1483932300,22205,22205,22201,22201,2,NaN,22227.26488638464,-1
1483932600,22200,22200,22189,22189,2,NaN,22216.502504563097,-1
1483933200,22180,22180,22180,22180,1,NaN,22207.462103833,NaN
1483938000,22204,22204,22204,22204,1,NaN,22160,NaN
1483938300,22218,22218,22218,22218,1,3.65,22164.4,NaN
1483938600,22234,22242,22234,22235,3,3.75,22170.832000000002,0.125
1483938900,22232,22232,22232,22232,1,3.3,22180.795520000003,NaN
1483939200,22229,22229,22229,22229,1,3.2,22189.3641472,NaN
1483941000,22250,22250,22250,22250,2,3.2,22196.733166592003,NaN
1483942500,22214,22214,22214,22214,1,2.6,22205.255859937282,NaN
1483943400,22234,22234,22234,22234,1,2.45,22212.414922347318,NaN
1483944000,22235,22235,22208,22208,3,2.3,22250,-1
1483945200,22220,22220,22220,22220,1,2.3,22245.8,NaN
1483945800,22232,22240,22232,22240,3,2.35,22242.02,1
1483946400,22242,22242,22242,22242,1,2.35,22208,NaN
1483948200,22260,22260,22260,22260,1,2.35,22211.4,NaN
1483948800,22268,22268,22260,22260,3,1.9,22217.232,-1
1483949100,22260,22260,22260,22260,1,1.8,22224.33952,NaN
1483949400,22254,22254,22254,22254,1,1.8,22230.451987200002,NaN
1483960500,22220,22220,22220,22220,1,1.55,22268,NaN
1483969800,22220,22220,22220,22220,1,1.5,22263.2,NaN
1483970400,22223,22223,22223,22223,1,1.45,22258.88,NaN
1483970700,22210,22210,22210,22210,1,1.45,22254.992000000002,NaN
1483972200,22224,22224,22224,22224,1,1.45,22249.59296,NaN
1483972800,22210,22210,22210,22210,2,1.5,22244.841804800002,NaN
1483974000,22224,22224,22224,22224,1,1.4,22240.660788224002,NaN
1483974900,22210,22210,22210,22210,4,1.55,22236.981493637122,NaN
1483976400,22224,22224,22200,22200,5,1.75,22233.74371440067,-1
1484010900,22234,22249,22234,22249,3,1.8,22200,1
1484011200,22241,22254,22241,22254,6,2.05,22200,1
1484011500,22250,22250,22250,22250,1,2.05,22206.48,NaN
1484011800,22265,22293,22254,22255,13,2.55,22212.182399999998,-0.2564102564102564
1484012100,22238,22238,22238,22238,1,2.55,22223.496863999997,NaN
1484012400,22220,22296,22220,22296,5,2.65,22296,1
1484012700,22305,22305,22298,22298,5,2.85,22220,-1
1484013000,22329,22355,22329,22342,7,3.15,22220,0.5
1484013300,22337,22337,22329,22329,2,3.1,22236.2,-1
1484013600,22293,22293,22290,22290,2,3.15,22250.456000000002,-1
1484013900,22320,22320,22310,22310,4,3.3,22263.00128,-1
1484014500,22300,22300,22285,22285,3,3.4,22274.0411264,-1
1484014800,22276,22290,22276,22290,2,3.45,22355,1
1484015400,22314,22314,22314,22314,1,3.45,22347.1,NaN
1484015700,22312,22312,22312,22312,1,3.45,22339.989999999998,NaN
1484016000,22318,22324,22318,22324,2,3.5,22333.590999999997,1
1484016300,22334,22334,22334,22334,1,3.45,22276,NaN
1484016600,22314,22314,22310,22310,5,3.65,22281.8,-1
1484016900,22321,22336,22321,22336,7,3.8,22287.02,1
1484017200,22339,22339,22339,22339,2,3.65,22292.8976,NaN
1484017500,22353,22353,22343,22343,5,3.75,22299.351936,-1
1484017800,22350,22357,22350,22357,2,3.55,22307.93562624,1
1484018100,22369,22380,22369,22376,4,3.7,22316.7672135168,0.6363636363636364
1484018400,22380,22380,22380,22380,2,3.15,22329.41377081344,NaN
1484018700,22373,22373,22373,22373,1,3.15,22339.53101665075,NaN
1484019000,22386,22392,22386,22391,3,3.05,22347.624813320603,0.8333333333333334
1484019300,22384,22384,22384,22384,1,2.85,22356.49985065648,NaN
1484020200,22376,22376,22376,22376,1,2.55,22363.599880525184,NaN
1484025300,22400,22400,22395,22395,6,2.75,22369.279904420146,-1
