time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA,PSAR,Long Start,Buy Label,Short Start,Sell Label,,PSAR,Long Start,Buy Label,Short Start,Sell Label,,ADX,RSI
1584730500,21876,21876,21830,21830,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,21853,NaN,NaN,NaN,NaN,NaN,21853,NaN,NaN
1584926100,20981,21307,20981,21219,NaN,NaN,NaN,NaN,NaN,NaN,36,NaN,21876,NaN,NaN,NaN,NaN,21122,21876,NaN,NaN,NaN,NaN,21122,NaN,NaN
1584926400,21230,21241,21143,21187,NaN,NaN,NaN,NaN,NaN,NaN,13,NaN,21876,NaN,NaN,NaN,NaN,21200.25,21876,NaN,NaN,NaN,NaN,21200.25,NaN,NaN
1584926700,21183,21236,21133,21236,NaN,NaN,NaN,NaN,NaN,NaN,7,NaN,21697,NaN,NaN,NaN,NaN,21197,21697,NaN,NaN,NaN,NaN,21197,NaN,NaN
1584927000,21300,21459,21288,21455,NaN,NaN,NaN,NaN,NaN,NaN,22,NaN,21553.8,NaN,NaN,NaN,NaN,21375.5,21553.8,NaN,NaN,NaN,NaN,21375.5,NaN,NaN
1584927300,21436,21549,21388,21549,NaN,NaN,NaN,NaN,NaN,NaN,22,NaN,20981,20981,20981,NaN,NaN,21480.5,20981,20981,20981,NaN,NaN,21480.5,NaN,NaN
1584927600,21500,21512,21400,21427,NaN,NaN,NaN,NaN,NaN,NaN,11,NaN,21094.6,NaN,NaN,NaN,NaN,21459.75,21094.6,NaN,NaN,NaN,NaN,21459.75,NaN,NaN
1584927900,21423,21471,21359,21471,NaN,NaN,NaN,NaN,NaN,NaN,11,NaN,21185.48,NaN,NaN,NaN,NaN,21431,21185.48,NaN,NaN,NaN,NaN,21431,NaN,NaN
1584928200,21460,21471,21419,21454,NaN,NaN,NaN,NaN,NaN,NaN,15,NaN,21258.184,NaN,NaN,NaN,NaN,21451,21258.184,NaN,NaN,NaN,NaN,21451,NaN,NaN
1584928500,21475,21541,21475,21540,NaN,NaN,NaN,NaN,NaN,NaN,15,NaN,21316.3472,NaN,NaN,NaN,NaN,21507.75,21316.3472,NaN,NaN,NaN,NaN,21507.75,NaN,NaN
1584928800,21398,21420,21388,21420,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,21362.87776,NaN,NaN,NaN,NaN,21406.5,21362.87776,NaN,NaN,NaN,NaN,21406.5,NaN,NaN
1584929100,21388,21419,21388,21389,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,21549,NaN,NaN,21549,21549,21396,21549,NaN,NaN,21549,21549,21396,NaN,NaN
1584929400,21397,21435,21378,21380,NaN,NaN,NaN,NaN,NaN,NaN,9,NaN,21516.8,NaN,NaN,NaN,NaN,21397.5,21516.8,NaN,NaN,NaN,NaN,21397.5,NaN,NaN
1584929700,21388,21427,21372,21372,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,21484.876,NaN,NaN,NaN,NaN,21389.75,21483.488,NaN,NaN,NaN,NaN,21389.75,NaN,NaN
1584930000,21350,21350,21313,21313,NaN,NaN,NaN,NaN,NaN,NaN,19,NaN,21455.52824,NaN,NaN,NaN,NaN,21331.5,21452.271360000002,NaN,NaN,NaN,NaN,21331.5,NaN,32.778147901399066
1584930300,21425,21453,21425,21434,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,21313,21313,21313,NaN,NaN,21434.25,21313,21313,21313,NaN,NaN,21434.25,NaN,38.14778139293629
1584930600,21400,21430,21373,21410,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,21313,NaN,NaN,NaN,NaN,21403.25,21313,NaN,NaN,NaN,NaN,21403.25,NaN,37.50780149432052
