time,open,high,low,close,Volume,Volume MA
1619601300,28717,28717,28717,28717,1,NaN
1619601600,28711,28711,28711,28711,1,NaN
1619603700,28730,28738,28730,28738,3,NaN
1619604300,28738,28738,28738,28738,1,NaN
1619604600,28734,28734,28734,28734,1,NaN
1619606700,28721,28721,28721,28721,1,NaN
1619610000,28703,28703,28701,28701,2,NaN
1619610300,28700,28708,28700,28708,2,NaN
1619612100,28710,28714,28706,28706,3,NaN
1619617200,28735,28735,28735,28735,1,NaN
1619617500,28744,28768,28744,28768,19,NaN
1619618100,28772,28780,28772,28780,4,NaN
1619618700,28790,28790,28790,28790,1,NaN
1619619600,28792,28808,28792,28808,6,NaN
1619619900,28770,28770,28770,28770,1,NaN
1619620200,28770,28770,28752,28752,3,NaN
1619620500,28747,28752,28747,28752,3,NaN
1619623800,28746,28746,28746,28746,1,NaN
1619626200,28727,28727,28727,28727,2,NaN
1619631600,28737,28737,28737,28737,1,NaN
1619632200,28731,28731,28731,28731,2,NaN
1619632800,28715,28760,28700,28760,7,NaN
1619633100,28743,28747,28743,28747,2,NaN
1619634900,28790,28790,28790,28790,1,NaN
1619635200,28796,28805,28796,28805,7,NaN
1619635500,28812,28812,28812,28812,1,NaN
1619658900,28850,28928,28850,28928,34,NaN
1619659200,28932,28964,28920,28935,30,NaN
1619659500,28930,28948,28930,28948,4,NaN
1619659800,28930,28955,28867,28900,42,NaN
1619660100,28921,28960,28884,28950,24,NaN
1619660400,28966,29030,28966,29026,60,NaN
1619660700,29050,29080,29026,29026,26,NaN
1619661000,29050,29063,29034,29050,16,NaN
1619661300,29039,29085,29010,29010,18,NaN
1619661600,29016,29040,29016,29040,5,NaN
1619661900,29050,29060,29044,29053,9,NaN
1619662200,29079,29100,29068,29080,19,NaN
1619662500,29070,29070,29057,29057,3,NaN
1619662800,29043,29048,29033,29033,3,NaN
1619663100,29032,29032,29020,29020,5,NaN
1619663400,29010,29010,29010,29010,1,NaN
1619663700,29030,29044,29030,29030,6,NaN
1619664000,29020,29020,29016,29016,2,NaN
1619664300,29040,29040,29040,29040,1,NaN
1619664600,29010,29010,29010,29010,1,NaN
1619664900,29008,29008,28970,28970,7,NaN
1619665200,28972,28972,28913,28913,7,NaN
1619665500,28944,28951,28930,28932,4,NaN
1619665800,28937,28945,28937,28945,2,NaN
1619666100,28929,28929,28929,28929,1,NaN
1619666400,28950,28950,28925,28925,4,NaN
1619666700,28928,28930,28923,28928,10,NaN
