time,open,high,low,close,Volume,Volume MA,ParabolicSAR,Plot
1187401200,22618,22618,22618,22618,1,NaN,NaN,NaN
1496193600,25421,25421,25421,25421,1,NaN,22618,NaN
1496193900,25426,25431,25426,25427,6,NaN,22618,0.2
1496194200,25410,25430,25395,25395,4,NaN,22955.56,-0.42857142857142855
1496194500,25440,25450,25425,25440,12,NaN,23252.612800000003,0
1496194800,25435,25451,25435,25451,3,NaN,23560.247008000002,1
1496195100,25465,25488,25465,25488,10,NaN,23862.76748672,1
1496195400,25500,25502,25480,25480,10,NaN,24155.3093391104,-0.9090909090909091
1496195700,25485,25485,25468,25474,10,NaN,24424.64747128832,-0.6470588235294118
1496196000,25480,25480,25480,25480,1,NaN,24640.117977030655,NaN
1496196300,25476,25476,25460,25464,6,NaN,24812.494381624525,-0.75
1496196600,25463,25468,25460,25468,4,NaN,24950.39550529962,0.625
1496196900,25463,25463,25450,25450,4,NaN,25060.716404239698,-1
1496197200,25455,25455,25455,25455,1,NaN,25148.97312339176,NaN
1496197500,25449,25449,25448,25448,2,NaN,25219.578498713407,-1
1496197800,25449,25449,25449,25449,1,NaN,25276.062798970725,NaN
1496198100,25465,25465,25465,25465,2,NaN,25321.25023917658,NaN
1496198400,25455,25455,25448,25448,3,NaN,25357.400191341265,-1
1496198700,25451,25451,25445,25445,3,NaN,25386.32015307301,-1
1496199000,25433,25434,25425,25434,7,4.55,25409.45612245841,0.1111111111111111
1496199300,25421,25421,25421,25421,2,4.6,25502,NaN
1496199600,25429,25429,25410,25410,3,4.7,25493.9,-1
1496199900,25410,25413,25400,25400,7,4.75,25483.832000000002,-0.7692307692307693
1496200200,25401,25405,25398,25405,3,4.7,25472.095520000003,0.5714285714285714
1496201100,25393,25393,25390,25390,2,4.2,25460.240236800004,-1
1496201400,25384,25384,25363,25363,5,4.3,25447.596994176005,-1
1496201700,25355,25358,25354,25358,5,4.05,25430.677595340803,0.75
1496202000,25357,25368,25357,25362,3,3.7,25415.342076272642,0.45454545454545453
1496202900,25380,25380,25380,25380,1,3.25,25403.073661018112,NaN
1496206800,25390,25390,25385,25385,2,3.3,25393.258928814488,-1
1496207100,25376,25376,25355,25355,7,3.35,25390,-1
1496207700,25395,25395,25395,25395,1,3.2,25354,NaN
1496208000,25400,25400,25400,25400,1,3.05,25355,NaN
1496208300,25382,25382,25382,25382,1,3.05,25360.4,NaN
1496209500,25392,25392,25392,25392,1,3,25365.152000000002,NaN
1496209800,25375,25375,25360,25360,8,3.35,25400,-1
1496210100,25355,25368,25350,25368,3,3.4,25396,0.7222222222222222
1496210400,25384,25384,25384,25384,1,3.3,25390.48,NaN
1496210700,25388,25396,25388,25396,5,3.4,25350,1
1496211000,25392,25398,25392,25398,2,3.15,25354.6,1
1496211300,25390,25390,25390,25390,1,3.1,25359.807999999997,NaN
1496211900,25391,25391,25391,25391,2,3.05,25364.39104,NaN
1496212500,25400,25410,25400,25407,3,2.85,25368.4241152,0.7
1496212800,25406,25410,25395,25395,5,2.95,25374.244739072,-0.7333333333333333
1496213100,25390,25390,25390,25390,1,2.9,25379.250475601923,NaN
1496213700,25396,25396,25396,25396,1,2.7,25383.555409017652,NaN
1496214000,25407,25407,25394,25394,4,2.65,25387.257651755182,-1
1496214300,25385,25385,25385,25385,2,2.6,25410,NaN
1496214600,25386,25386,25370,25370,2,2.65,25407.5,-1
1496215200,25382,25382,25382,25382,1,2.6,25403,NaN
1496215500,25372,25372,25372,25372,1,2.3,25399.04,NaN
1496216100,25360,25360,25360,25360,1,2.3,25395.555200000003,NaN
1496216400,25358,25358,25358,25358,2,2.35,25390.577472,NaN
1496216700,25369,25370,25366,25370,6,2.6,25385.36507648,0.25
1496217000,25365,25365,25365,25365,1,2.6,25380.9866642432,NaN
1496217300,25371,25371,25371,25371,1,2.25,25377.308797964288,NaN
1496217600,25374,25374,25374,25374,2,2.2,25374.219390290004,NaN
1496217900,25353,25353,25353,25353,1,2.2,25374,NaN
1496218200,25366,25366,25366,25366,1,2,25374,NaN
1496218500,25366,25366,25366,25366,2,2,25370.22,NaN
1496218800,25360,25368,25360,25368,4,2.15,25353,1
1496219100,25367,25367,25367,25367,3,2.2,25354.5,NaN
1496222400,25353,25353,25353,25353,2,2.15,25368,NaN
1496223900,25361,25361,25360,25360,2,2,25367,-1
1496224200,25351,25351,25351,25351,1,2,25365.6,NaN
1496225100,25347,25347,25347,25347,1,2,25363.847999999998,NaN
1496225400,25348,25348,25348,25348,1,1.85,25361.489279999998,NaN
1496228100,25376,25376,25376,25376,4,1.95,25347,NaN
1496232300,25394,25403,25394,25403,3,2,25348,1
1496232900,25398,25398,25398,25398,1,2,25354.6,NaN
1496233200,25405,25405,25405,25405,2,2.05,25360.408,NaN
1496236800,25395,25395,25395,25395,1,2.05,25366.65088,NaN
1496237100,25390,25390,25386,25386,2,2.05,25372.0197568,-1
1496237400,25382,25382,25382,25382,1,1.8,25376.636990848,NaN
1496237700,25375,25375,25370,25370,2,1.85,25405,-1
1496238300,25370,25370,25350,25350,3,1.95,25401.5,-1
1496238600,25355,25355,25343,25343,2,1.95,25395.32,-1
1496238900,25332,25332,25332,25332,2,2,25387.9952,NaN
1496239200,25320,25322,25320,25322,3,2.1,25379.035968,1
1496239800,25309,25309,25309,25309,2,2.1,25368.40949376,NaN
1496240400,25310,25310,25308,25308,2,2,25356.527595008,-1
1496240700,25310,25310,25310,25310,1,1.9,25346.8220760064,NaN
1496241000,25320,25320,25318,25318,2,1.9,25339.05766080512,-1
1496241600,25325,25325,25325,25325,2,1.9,25332.846128644094,NaN
1496241900,25325,25328,25322,25328,4,2.05,25308,0.5
1496242200,25327,25327,25327,25327,1,2.05,25310,NaN
1496242500,25331,25331,25331,25331,1,2.05,25311.8,NaN
1496244300,25311,25311,25310,25310,4,2.05,25331,-1
1496244600,25309,25309,25300,25300,8,2.3,25331,-1
1496244900,25302,25302,25302,25302,1,2.3,25327.28,NaN
1496279700,25374,25430,25374,25413,19,3.15,25300,0.6964285714285714
1496280000,25415,25415,25411,25411,2,3.2,25302,-1
1496280300,25400,25410,25399,25404,5,3.35,25314.8,0.36363636363636365
1496280600,25380,25380,25380,25380,3,3.45,25326.32,NaN
1496280900,25390,25401,25390,25398,7,3.7,25336.688,0.7272727272727273
1496281200,25408,25410,25401,25401,6,3.85,25346.0192,-0.7777777777777778
1496281500,25380,25385,25366,25367,12,4.35,25354.417279999998,-0.6842105263157895
1496281800,25366,25366,25334,25335,15,5,25430,-0.96875
1496282100,25335,25350,25335,25336,6,5.15,25420.4,0.06666666666666667
1496282400,25330,25330,25325,25325,3,5.2,25411.760000000002,-1
1496282700,25313,25318,25308,25318,5,5.35,25401.348800000003,0.5
1496283000,25318,25326,25315,25315,3,5.45,25388.279968000003,-0.2727272727272727
1496283300,25356,25365,25356,25365,4,5.55,25377.040772480002,1
1496283600,25371,25384,25371,25379,6,5.75,25308,0.6153846153846154
1496283900,25390,25390,25390,25390,1,5.6,25315.6,NaN
1496284200,25408,25420,25408,25420,13,6.2,25324.528,1
1496284500,25420,25443,25420,25432,13,6.8,25337.89408,0.5217391304347826
1496284800,25439,25439,25408,25408,4,6.8,25354.7110272,-1
1496285100,25400,25405,25400,25405,2,6.5,25368.837262848,1
