time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA,PSAR,Long Start,Buy Label,Short Start,Sell Label,,PSAR,Long Start,Buy Label,Short Start,Sell Label,,ADX,RSI
1590714900,22538,22538,22233,22233,NaN,NaN,NaN,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,22385.5,NaN,NaN,NaN,NaN,NaN,22385.5,NaN,NaN
1590715200,22320,22320,22320,22320,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,22233,22233,22233,NaN,NaN,22320,22233,22233,22233,NaN,NaN,22320,NaN,NaN
1590715500,22335,22335,22335,22335,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,22233,NaN,NaN,NaN,NaN,22335,22233,NaN,NaN,NaN,NaN,22335,NaN,NaN
1590715800,22435,22500,22435,22450,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,22256.46,NaN,NaN,NaN,NaN,22455,22257.48,NaN,NaN,NaN,NaN,22455,NaN,NaN
1590716100,22456,22520,22456,22515,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,22319.7804,NaN,NaN,NaN,NaN,22486.75,22325.3856,NaN,NaN,NaN,NaN,22486.75,NaN,NaN
1590716400,22537,22573,22507,22507,NaN,NaN,NaN,NaN,NaN,NaN,11,NaN,22377.844084,NaN,NaN,NaN,NaN,22531,22383.769920000002,NaN,NaN,NaN,NaN,22531,NaN,NaN
1590716700,22588,22635,22570,22631,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,22436.3908588,NaN,NaN,NaN,NaN,22606,22440.538944,NaN,NaN,NaN,NaN,22606,NaN,NaN
1590717000,22589,22589,22584,22584,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,22495.97360116,NaN,NaN,NaN,NaN,22586.5,22498.8772608,NaN,NaN,NaN,NaN,22586.5,NaN,NaN
1590717300,22630,22630,22600,22600,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,22537.681520812,NaN,NaN,NaN,NaN,22615,22539.71408256,NaN,NaN,NaN,NaN,22615,NaN,NaN
1590717600,22658,22670,22651,22664,NaN,NaN,NaN,NaN,NaN,NaN,9,NaN,22566.877064568398,NaN,NaN,NaN,NaN,22660.75,22568.299857792,NaN,NaN,NaN,NaN,22660.75,NaN,NaN
1590717900,22645,22652,22596,22652,NaN,NaN,NaN,NaN,NaN,NaN,7,NaN,22670,NaN,NaN,22670,22670,22636.25,22670,NaN,NaN,22670,22670,22636.25,NaN,NaN
1590718200,22658,22665,22633,22660,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,22596,22596,22596,NaN,NaN,22654,22596,22596,22596,NaN,NaN,22654,NaN,NaN
1590718500,22628,22677,22628,22666,NaN,NaN,NaN,NaN,NaN,NaN,7,NaN,22596,NaN,NaN,NaN,NaN,22649.75,22596,NaN,NaN,NaN,NaN,22649.75,NaN,NaN
1590718800,22635,22652,22635,22652,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,22614.63,NaN,NaN,NaN,NaN,22643.5,22615.44,NaN,NaN,NaN,NaN,22643.5,NaN,NaN
1590719400,22672,22680,22647,22647,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,22628,NaN,NaN,NaN,NaN,22661.5,22628,NaN,NaN,NaN,NaN,22661.5,NaN,85.32423208191126
1590720000,22679,22679,22645,22651,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,22635,NaN,NaN,NaN,NaN,22663.5,22635,NaN,NaN,NaN,NaN,22663.5,NaN,85.43132655720615
1590720300,22650,22668,22650,22668,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,22645,NaN,NaN,NaN,NaN,22659,22645,NaN,NaN,NaN,NaN,22659,NaN,85.90218635420102
1590720600,22670,22688,22670,22688,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,22645,NaN,NaN,NaN,NaN,22679,22645,NaN,NaN,NaN,NaN,22679,NaN,86.45676086766416
1590720900,22695,22704,22690,22690,NaN,NaN,NaN,NaN,NaN,NaN,10,NaN,22650,NaN,NaN,NaN,NaN,22694.75,22650,NaN,NaN,NaN,NaN,22694.75,NaN,86.51389286800236
1590721200,22665,22665,22665,22665,NaN,NaN,NaN,NaN,NaN,NaN,2,5.3,22704,NaN,NaN,22704,22704,22665,22704,NaN,NaN,22704,22704,22665,NaN,81.8649968838605
1590721500,22648,22648,22618,22618,NaN,NaN,NaN,NaN,NaN,NaN,4,5.15,22704,NaN,NaN,NaN,NaN,22633,22704,NaN,NaN,NaN,NaN,22633,NaN,73.83244135373617
1590721800,22597,22597,22580,22580,NaN,NaN,NaN,NaN,NaN,NaN,2,5.2,22684.22,NaN,NaN,NaN,NaN,22588.5,22683.36,NaN,NaN,NaN,NaN,22588.5,NaN,68.02118415565042
1590722100,22570,22570,22545,22559,NaN,NaN,NaN,NaN,NaN,NaN,6,5.45,22657.1228,NaN,NaN,NaN,NaN,22561,22654.4192,NaN,NaN,NaN,NaN,22561,NaN,64.97745538652514
1590722400,22578,22600,22578,22600,NaN,NaN,NaN,NaN,NaN,NaN,3,5.2,22624.607188,NaN,NaN,NaN,NaN,22589,22621.59344,NaN,NaN,NaN,NaN,22589,NaN,67.98913276352332
1590722700,22600,22600,22600,22600,NaN,NaN,NaN,NaN,NaN,NaN,1,5,22601.52110348,NaN,NaN,NaN,NaN,22600,22545,22545,22545,NaN,NaN,22600,NaN,67.98913276352332
1590723000,22590,22590,22590,22590,NaN,NaN,NaN,NaN,NaN,NaN,1,4.5,22545,22545,22545,NaN,NaN,22590,22556,NaN,NaN,NaN,NaN,22590,NaN,66.37459523172285
