time,open,high,low,close,Volume,Volume MA
1653959700,20782,20817,20776,20817,9,NaN
1653960000,20805,20809,20783,20786,9,NaN
1653960300,20786,20786,20772,20772,2,NaN
1653960600,20766,20817,20748,20812,8,NaN
1653960900,20767,20822,20745,20822,11,NaN
1653961200,20842,20880,20834,20873,17,NaN
1653961500,20888,20906,20820,20820,36,NaN
1653961800,20801,20801,20772,20775,7,NaN
1653962100,20755,20790,20755,20790,5,NaN
1653962400,20790,20830,20769,20830,20,NaN
1653962700,20798,20846,20798,20831,14,NaN
1653963000,20855,20892,20855,20888,15,NaN
1653963300,20876,20890,20876,20879,4,NaN
1653963600,20875,20892,20853,20863,10,NaN
1653963900,20847,20888,20845,20888,7,NaN
1653964200,20888,20892,20860,20860,11,NaN
1653964500,20849,20865,20840,20865,12,NaN
1653964800,20892,20892,20870,20872,4,NaN
1653965100,20918,20925,20903,20903,6,NaN
1653965400,20868,20891,20846,20846,21,11.4
1653965700,20873,20965,20870,20955,10,11.45
1653966000,20978,20978,20931,20937,9,11.45
1653966300,20940,20940,20940,20940,1,11.4
1653966600,20941,20941,20897,20897,2,11.1
1653966900,20917,20917,20891,20891,3,10.7
1653967200,20882,20882,20869,20872,9,10.3
1653967500,20850,20863,20850,20863,4,8.7
1653967800,20887,20887,20887,20887,1,8.4
1653968100,20893,20903,20893,20903,3,8.3
1653968400,20920,20920,20910,20910,2,7.4
1653968700,20927,20927,20922,20922,3,6.85
1653969000,20935,20937,20933,20933,9,6.55
1653969300,20950,20955,20939,20939,12,6.95
1653973200,20952,21004,20952,20980,23,7.6
1653973500,20986,21000,20983,21000,7,7.6
1653973800,21000,21015,21000,21000,4,7.25
1653974100,20970,20985,20970,20977,8,7.05
1653974400,20960,21005,20957,21005,12,7.45
1653974700,21000,21066,21000,21066,9,7.6
1653975000,21068,21068,21030,21035,12,7.15
1653975300,21025,21048,21023,21048,7,7
1653975600,21030,21030,21010,21013,12,7.15
1653975900,21035,21051,21035,21051,9,7.55
1653976200,21042,21072,21042,21052,7,7.8
1653976500,21044,21044,21044,21044,2,7.75
1653976800,21035,21038,21032,21032,5,7.55
1653977100,21025,21032,21025,21032,4,7.55
1653977400,21035,21062,21035,21062,6,7.8
1653977700,21067,21067,21042,21046,7,8
1653978000,21069,21088,21069,21088,7,8.25
1653978300,21078,21141,21076,21141,40,10.1
1653978600,21141,21141,21123,21123,5,9.9
1653978900,21128,21128,21095,21095,10,9.8
1653979200,21089,21121,21089,21121,3,8.8
1653979500,21089,21089,21023,21023,13,9.1
1653979800,21021,21045,21021,21045,4,9.1
1653980100,21060,21071,21060,21071,13,9.35
1653980400,21072,21074,21067,21069,5,9
1653980700,21050,21050,21024,21044,11,9.1
1653981000,21032,21032,21001,21001,8,8.9
1653981300,21007,21015,21000,21007,4,8.75
1653981600,21020,21020,21020,21020,2,8.25
1653981900,21023,21023,21016,21021,4,8
1653982200,21042,21052,21042,21047,7,8
1653982500,21035,21035,21021,21022,6,8.2
1653982800,21022,21022,20985,20997,12,8.55
1653983100,21019,21053,21019,21053,8,8.75
1653983400,21055,21055,21050,21050,2,8.55
1653983700,21060,21060,21060,21060,2,8.3
1653984000,21080,21143,21079,21143,15,8.7
1653984300,21135,21200,21135,21200,16,7.5
1653984600,21160,21160,21160,21160,1,7.3
1653984900,21216,21252,21216,21252,7,7.15
1653985200,21265,21288,21264,21288,5,7.25
1653985500,21280,21301,21270,21292,7,6.95
1653988500,21186,21200,21186,21196,15,7.5
1653988800,21226,21226,21224,21224,7,7.2
1653989100,21203,21229,21203,21229,9,7.4
1653989400,21245,21250,21245,21250,3,7
