time,open,high,low,close,Volume,Volume MA,ParabolicSAR,Plot
1467594900,20923,20923,20868,20899,55,NaN,NaN,-0.43636363636363634
1467595200,20903,20910,20894,20909,9,NaN,20868,0.375
1467595500,20902,20902,20815,20815,12,NaN,20923,-1
1467595800,20860,20860,20800,20807,13,NaN,20912.2,-0.8833333333333333
1467596100,20800,20861,20800,20861,5,NaN,20902,1
1467596400,20865,20899,20865,20898,11,NaN,20800,0.9705882352941176
1467596700,20902,20985,20901,20985,30,NaN,20800,0.9880952380952381
1467597000,20990,21015,20988,20988,17,NaN,20822.2,-0.07407407407407407
1467597300,21005,21005,20986,21000,6,NaN,20849.192,-0.2631578947368421
1467597600,21008,21041,21008,21027,12,NaN,20872.40512,0.5757575757575758
1467597900,21043,21050,21022,21050,13,NaN,20899.3803008,0.25
1467598200,21034,21055,21028,21028,12,NaN,20926.491846656,-0.2222222222222222
1467598500,21043,21050,21028,21034,8,NaN,20952.1934773248,-0.4090909090909091
1467598800,21031,21031,21015,21015,8,NaN,20972.75478185984,-1
1467599100,21025,21049,21025,21046,6,NaN,20989.20382548787,0.875
1467599400,21057,21067,21051,21051,15,NaN,21002.363060390297,-0.375
1467599700,21036,21055,21036,21055,4,NaN,21015.290448312237,1
1467600000,21068,21068,21057,21058,5,NaN,21025.63235864979,-0.9090909090909091
1467600300,21069,21070,21059,21070,4,NaN,21034.10588691983,0.09090909090909091
1467600600,21071,21100,21071,21100,18,13.15,21041.284709535867,1
1467600900,21096,21097,21071,21095,8,10.8,21053.027767628693,-0.038461538461538464
1467601200,21088,21106,21078,21078,7,10.7,21062.422214102953,-0.35714285714285715
1467601500,21081,21085,21080,21085,3,10.25,21071,0.8
1467601800,21092,21137,21092,21137,9,10.05,21078,1
1467602100,21132,21132,21117,21118,7,10.15,21080,-0.9333333333333333
1467602400,21117,21117,21117,21117,1,9.65,21091.4,NaN
1467602700,21106,21106,21100,21100,2,8.25,21137,-1
1467603300,21090,21090,21081,21081,5,7.65,21133.3,-1
1467603600,21081,21081,21081,21081,1,7.4,21127.023999999998,NaN
1467603900,21092,21092,21080,21080,3,6.95,21121.501119999997,-1
1467604200,21060,21061,21060,21061,2,6.4,21115.6909632,1
1467604500,21066,21071,21066,21067,8,6.2,21106.780409087998,0.2
1467608400,21060,21060,21040,21040,5,6.05,21099.295543633918,-1
1467608700,21060,21068,21060,21068,5,5.9,21088.62234577981,1
1467609000,21060,21060,21060,21060,2,5.7,21079.870323539446,NaN
1467609300,21070,21075,21070,21075,2,5.05,21040,1
1467609600,21068,21068,21064,21064,2,4.95,21043.5,-1
1467609900,21055,21055,21035,21037,5,4.95,21075,-0.9
1467610200,21037,21049,21028,21049,3,4.9,21071,0.5714285714285714
1467610500,21062,21065,21062,21065,2,4.1,21065.84,1
1467610800,21058,21058,21053,21055,3,3.85,21065,-0.6
1467611100,21051,21051,21051,21051,1,3.55,21065,NaN
1467611400,21080,21080,21070,21071,6,3.7,21028,-0.9
1467611700,21065,21065,21058,21058,2,3.35,21033.2,-1
1467612000,21084,21093,21084,21093,2,3.1,21037.88,1
1467612300,21084,21084,21084,21084,1,3.1,21044.4944,NaN
1467612600,21073,21089,21073,21089,5,3.25,21050.315072,1
1467612900,21098,21099,21090,21099,3,3.15,21055.43726336,0.1111111111111111
1467613200,21080,21080,21031,21037,10,3.6,21099,-0.8775510204081632
1467613500,21039,21046,21038,21045,5,3.7,21099,0.75
1467613800,21065,21065,21065,21065,1,3.65,21092.2,NaN
1467614100,21060,21061,21060,21061,3,3.4,21086.08,1
1467614400,21060,21072,21049,21072,9,3.6,21080.572,0.5217391304347826
1467614700,21076,21089,21076,21089,4,3.55,21031,1
1467615000,21096,21096,21096,21096,1,3.5,21036.8,NaN
1467615300,21091,21091,21065,21065,3,3.55,21043.904,-1
1467615600,21051,21055,21050,21050,4,3.65,21096,-0.2
1467615900,21055,21055,21039,21039,3,3.55,21091.4,-1
1467616200,21045,21045,21010,21020,19,4.35,21085.112,-0.7142857142857143
1467616500,21035,21035,21028,21028,2,4.35,21074.59632,-1
1467616800,21015,21015,20981,20981,7,4.55,21065.5528352,-1
1467617100,21003,21003,21003,21003,1,4.55,21052.024381568,NaN
1467617700,21020,21020,21000,21000,3,4.4,21040.66048051712,-1
1467618000,21000,21000,21000,21000,3,4.45,21031.11480363438,NaN
1467618600,21020,21025,21020,21025,6,4.65,20981,1
1467618900,21027,21027,21004,21013,5,4.85,20985.4,-0.6086956521739131
1467619200,21000,21000,20975,20977,7,4.95,21027,-0.92
1467619500,20980,20980,20959,20959,11,5.35,21027,-1
1467619800,20960,20979,20960,20979,7,5.2,21018.84,1
1467622800,20973,20980,20973,20980,2,5.05,21011.659200000002,1
1467623100,20980,20998,20980,20998,2,5.1,21005.340096,1
1467623400,21015,21017,21015,21017,2,5.05,20959,1
1467623700,21022,21022,21022,21022,1,4.65,20964.8,NaN
1467624000,21017,21017,21007,21007,2,4.55,20971.664,-1
1467624300,21002,21002,20981,20981,2,4.6,20977.70432,-1
1467624900,21003,21003,21003,21003,1,4.5,20981,NaN
1467625800,21003,21003,21003,21003,1,4.35,20981,NaN
1467627900,20997,20997,20997,20997,1,4.25,20985.92,NaN
1467629100,21015,21015,21015,21015,1,3.35,20990.2496,NaN
1467631500,20982,20982,20982,20982,1,3.3,21022,NaN
1467632700,20980,20980,20980,20980,1,3,21018,NaN
1467633900,20969,20969,20969,20969,1,3,21013.44,NaN
1467634200,20968,20968,20968,20968,1,2.9,21007.218399999998,NaN
1467634500,20967,20967,20947,20947,4,2.95,21000.943455999997,-1
1467634800,20935,20935,20930,20930,2,2.75,20991.233633919997,-1
1467637200,20956,20956,20956,20956,1,2.55,20978.986907135997,NaN
1467637500,20944,20944,20917,20917,5,2.45,20969.189525708796,-1
1467637800,20919,20919,20919,20919,1,1.95,20958.751620567036,NaN
1467638100,20906,20906,20906,20906,2,1.7,20950.40129645363,NaN
1467641400,20922,20922,20922,20922,1,1.65,20941.521037162904,NaN
1467642000,20926,20926,20926,20926,1,1.6,20934.416829730322,NaN
1467642600,20936,20955,20936,20955,2,1.6,20906,1
1467642900,20945,20945,20945,20945,1,1.6,20910.9,NaN
1467644100,20920,20920,20915,20915,4,1.7,20955,-1
1467644400,20920,20920,20920,20920,1,1.65,20951,NaN
1467644700,20915,20920,20915,20920,2,1.7,20947.4,1
1467645000,20920,20920,20916,20916,3,1.8,20944.16,-1
1467645600,20924,20924,20924,20924,1,1.8,20941.244,NaN
1467646200,20905,20905,20900,20900,8,2.15,20938.619599999998,-1
1467646500,20885,20885,20885,20885,1,2.15,20933.985247999997,NaN
1467646800,20898,20898,20898,20898,1,2.15,20927.127313279998,NaN
1467681300,20864,20874,20855,20863,15,2.85,20921.2294894208,-0.05263157894736842
1467681600,20836,20846,20826,20846,15,3.55,20910.632771113473,0.5
1467681900,20856,20856,20843,20843,4,3.55,20895.398872313046,-1
1467682200,20821,20851,20802,20813,18,4.35,20882.907075296698,-0.16326530612244897
1467682500,20801,20810,20775,20775,27,5.65,20866.72566023736,-0.7428571428571429
1467682800,20770,20806,20770,20785,6,5.7,20851,0.4166666666666667
1467683100,20796,20820,20796,20820,4,5.85,20834.8,1
1467683400,20800,20808,20795,20795,19,6.7,20821.84,-0.38461538461538464
1467683700,20799,20814,20794,20794,12,7.25,20770,-0.25
1467684000,20800,20825,20800,20825,8,7.6,20774.4,1
1467684300,20835,20848,20822,20836,11,8.05,20780.472,0.038461538461538464
1467684600,20842,20842,20829,20832,5,8.25,20789.92592,-0.7692307692307693
1467684900,20847,20856,20836,20851,9,8.5,20798.056291200002,0.2
1467685200,20851,20851,20841,20843,28,9.85,20807.327284608004,-0.8
1467685500,20848,20848,20835,20835,2,9.85,20815.114919070722,-1
1467685800,20822,20829,20820,20829,4,9.9,20856,0.7777777777777778
