time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA,PSAR,Long Start,Buy Label,Short Start,Sell Label,,PSAR,Long Start,Buy Label,Short Start,Sell Label,,ADX,RSI
1593480000,24288,24288,24257,24257,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,24272.5,NaN,NaN,NaN,NaN,NaN,24272.5,NaN,NaN
1593480300,24295,24295,24292,24292,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,24257,24257,24257,NaN,NaN,24293.5,24257,24257,24257,NaN,NaN,24293.5,NaN,NaN
1593480600,24292,24339,24279,24320,NaN,NaN,NaN,NaN,NaN,NaN,7,NaN,24257,NaN,NaN,NaN,NaN,24307.5,24257,NaN,NaN,NaN,NaN,24307.5,NaN,NaN
1593480900,24300,24326,24300,24326,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,24275.86,NaN,NaN,NaN,NaN,24313,24276.68,NaN,NaN,NaN,NaN,24313,NaN,NaN
1593481200,24363,24388,24350,24362,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,24279,NaN,NaN,NaN,NaN,24365.75,24279,NaN,NaN,NaN,NaN,24365.75,NaN,NaN
1593481500,24361,24368,24280,24288,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,24388,NaN,NaN,24388,24388,24324.25,24388,NaN,NaN,24388,24388,24324.25,NaN,NaN
1593481800,24293,24298,24240,24240,NaN,NaN,NaN,NaN,NaN,NaN,9,NaN,24388,NaN,NaN,NaN,NaN,24267.75,24388,NaN,NaN,NaN,NaN,24267.75,NaN,NaN
1593482100,24215,24252,24215,24252,NaN,NaN,NaN,NaN,NaN,NaN,10,NaN,24368,NaN,NaN,NaN,NaN,24233.5,24368,NaN,NaN,NaN,NaN,24233.5,NaN,NaN
1593482400,24300,24318,24282,24318,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,24328.22,NaN,NaN,NaN,NaN,24304.5,24325.16,NaN,NaN,NaN,NaN,24304.5,NaN,NaN
1593482700,24300,24300,24290,24290,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,24215,24215,24215,NaN,NaN,24295,24215,24215,24215,NaN,NaN,24295,NaN,NaN
1593483000,24312,24340,24312,24340,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,24232,NaN,NaN,NaN,NaN,24326,24232,NaN,NaN,NaN,NaN,24326,NaN,NaN
1593483300,24305,24305,24295,24295,NaN,NaN,NaN,NaN,NaN,NaN,4,NaN,24256.84,NaN,NaN,NaN,NaN,24300,24257.92,NaN,NaN,NaN,NaN,24300,NaN,NaN
1593483600,24287,24304,24276,24292,NaN,NaN,NaN,NaN,NaN,NaN,12,NaN,24275.9668,NaN,NaN,NaN,NaN,24289.75,24340,NaN,NaN,24340,24340,24289.75,NaN,NaN
1593483900,24286,24307,24283,24307,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN,24340,NaN,NaN,24340,24340,24295.75,24327.2,NaN,NaN,NaN,NaN,24295.75,NaN,NaN
1593484200,24288,24288,24250,24250,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,24328.6,NaN,NaN,NaN,NaN,24269,24316.96,NaN,NaN,NaN,NaN,24269,NaN,49.30417495029821
1593484500,24260,24271,24250,24250,NaN,NaN,NaN,NaN,NaN,NaN,7,NaN,24310.521999999997,NaN,NaN,NaN,NaN,24257.75,24307,NaN,NaN,NaN,NaN,24257.75,NaN,49.30417495029821
1593484800,24240,24240,24240,24240,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,24296.601939999997,NaN,NaN,NaN,NaN,24240,24293.32,NaN,NaN,NaN,NaN,24240,NaN,48.1929927443743
