time,open,high,low,close,Volume,Volume MA
1625016300,28888,28888,28888,28888,1,NaN
1625016600,28900,28900,28900,28900,2,NaN
1625016900,28918,28920,28918,28920,2,NaN
1625017200,28936,28950,28880,28880,8,NaN
1625017500,28880,28880,28880,28880,1,NaN
1625017800,28800,28821,28774,28774,4,NaN
1625018100,28778,28778,28749,28753,6,NaN
1625018400,28765,28800,28765,28792,4,NaN
1625018700,28780,28810,28780,28810,3,NaN
1625019000,28820,28821,28814,28821,3,NaN
1625019300,28830,28830,28817,28817,5,NaN
1625019600,28820,28822,28820,28822,2,NaN
1625019900,28800,28845,28800,28845,2,NaN
1625020200,28815,28815,28815,28815,1,NaN
1625020800,28800,28800,28800,28800,1,NaN
1625021100,28780,28780,28780,28780,1,NaN
1625021400,28765,28765,28765,28765,1,NaN
1625021700,28767,28790,28767,28790,2,NaN
1625022300,28755,28755,28708,28730,6,NaN
1625022600,28720,28720,28720,28720,1,NaN
1625023500,28771,28771,28763,28763,2,NaN
1625024100,28772,28772,28772,28772,1,NaN
1625024400,28772,28772,28772,28772,1,NaN
1625029200,28790,28800,28790,28791,5,NaN
1625029800,28784,28784,28775,28775,2,NaN
1625030100,28803,28803,28803,28803,1,NaN
1625030400,28775,28775,28775,28775,1,NaN
1625031000,28793,28793,28793,28793,1,NaN
1625031300,28785,28785,28785,28785,33,NaN
1625031600,28780,28780,28776,28776,3,NaN
1625031900,28750,28750,28746,28746,3,NaN
1625032200,28723,28723,28700,28700,10,NaN
1625032500,28688,28688,28670,28678,4,NaN
1625032800,28674,28674,28670,28670,3,NaN
1625033100,28693,28693,28693,28693,1,NaN
1625033400,28695,28695,28670,28670,2,NaN
1625033700,28650,28658,28649,28658,4,NaN
1625034000,28689,28689,28689,28689,1,NaN
1625034600,28673,28673,28673,28673,1,NaN
1625035200,28700,28716,28700,28716,11,NaN
1625035500,28720,28723,28709,28709,4,NaN
1625035800,28700,28700,28700,28700,2,NaN
1625036100,28703,28703,28681,28681,5,NaN
1625036400,28690,28690,28690,28690,1,NaN
1625037300,28675,28675,28673,28673,2,NaN
1625037600,28686,28686,28660,28660,5,NaN
1625037900,28698,28698,28698,28698,1,NaN
1625038200,28696,28698,28696,28698,3,NaN
