time,open,high,low,close,Volume,Volume MA,ParabolicSAR,Plot
1429283100,26550,26550,26550,26550,1,NaN,NaN,NaN
1429492200,27130,27130,27130,27130,10,NaN,26550,NaN
1429492500,27250,27468,27250,27427,14,NaN,26550,0.8119266055045872
1429492800,27400,27417,27328,27328,8,NaN,26660.16,-0.8089887640449438
1429493100,27331,27331,27320,27320,3,NaN,26757.1008,-1
1429493400,27300,27300,27141,27141,4,NaN,26842.408704,-1
1429493700,27140,27140,27130,27130,2,NaN,26917.479659520002,-1
1429494000,27167,27167,27167,27167,1,NaN,26983.542100377603,NaN
1429494300,27300,27320,27278,27278,4,NaN,27041.67704833229,-0.5238095238095238
1429494600,27200,27200,27200,27200,1,NaN,27092.835802532416,NaN
1429494900,27270,27272,27270,27272,2,NaN,27137.855506228527,1
1429496100,27172,27172,27172,27172,1,NaN,27468,NaN
1429498200,27267,27267,27256,27260,4,NaN,27438.4,-0.6363636363636364
1429498500,27261,27261,27261,27261,1,NaN,27411.760000000002,NaN
1429498800,27288,27288,27288,27288,5,NaN,27387.784000000003,NaN
1429499400,27290,27290,27290,27290,1,NaN,27366.2056,NaN
1429500000,27234,27234,27234,27234,4,NaN,27346.785040000002,NaN
1429506900,27213,27213,27213,27213,1,NaN,27329.306536000004,NaN
1429507500,27100,27105,27100,27105,5,NaN,27313.575882400004,1
1429507800,27090,27090,26941,27000,10,4.1,27287.946776512003,-0.6040268456375839
1429508100,26938,26938,26900,26900,2,4.15,27239.374227800323,-1
1429508400,26793,26850,26750,26750,4,3.85,27185.074351352272,-0.43
1429509000,26755,26780,26755,26780,5,3.4,27106.76096810886,1
1429509300,26717,26745,26690,26690,21,4.05,27042.543993849267,-0.4909090909090909
1429509600,26680,26690,26597,26658,36,5.7,26972.035195079414,-0.23655913978494625
1429509900,26735,26790,26735,26790,4,5.7,26897.02815606353,1
1429510200,26750,26750,26720,26726,4,5.8,26837.022524850825,-0.8
1429511100,26710,26710,26678,26678,2,5.85,26790,-1
1429511700,26706,26706,26706,26706,1,5.7,26751.4,NaN
1429512000,26650,26650,26650,26650,1,5.7,26720.52,NaN
1429512300,26670,26670,26620,26620,3,5.75,26706,-1
1429512600,26600,26603,26590,26590,6,6,26684.2,-0.7692307692307693
1429512900,26600,26600,26600,26600,1,5.85,26670,NaN
1429513200,26674,26674,26674,26674,1,5.85,26590,NaN
1429513500,26670,26670,26670,26670,1,5.65,26598.4,NaN
1429513800,26697,26700,26697,26700,2,5.7,26605.960000000003,1
