time,open,high,low,close,Volume,Volume MA
1627463700,25322,25322,25312,25320,12,NaN
1627464000,25320,25351,25320,25351,10,NaN
1627464600,25311,25311,25311,25311,1,NaN
1627464900,25295,25306,25295,25306,7,NaN
1627465200,25316,25326,25316,25326,7,NaN
1627465500,25325,25326,25325,25326,4,NaN
1627465800,25354,25354,25354,25354,1,NaN
1627466100,25364,25364,25364,25364,1,NaN
1627466400,25368,25374,25363,25363,4,NaN
1627466700,25372,25372,25372,25372,1,NaN
1627467000,25361,25361,25361,25361,1,NaN
1627467300,25344,25344,25344,25344,2,NaN
1627467900,25325,25325,25323,25323,3,NaN
1627468200,25346,25346,25346,25346,1,NaN
1627469400,25355,25355,25355,25355,1,NaN
1627469700,25366,25366,25366,25366,1,NaN
1627470000,25375,25375,25375,25375,1,NaN
1627470300,25380,25380,25380,25380,2,NaN
1627470600,25388,25388,25388,25388,1,NaN
1627470900,25389,25389,25389,25389,1,NaN
1627472400,25403,25403,25403,25403,3,NaN
1627473300,25400,25403,25400,25402,4,NaN
1627473600,25398,25410,25398,25410,3,NaN
1627473900,25420,25420,25420,25420,1,NaN
1627474200,25425,25430,25425,25430,2,NaN
1627474500,25440,25445,25440,25445,2,NaN
1627474800,25461,25467,25461,25467,3,NaN
1627475100,25468,25480,25468,25480,4,NaN
1627475400,25482,25482,25477,25477,2,NaN
1627475700,25492,25492,25481,25488,3,NaN
1627476000,25450,25450,25433,25433,3,NaN
1627476600,25442,25442,25412,25412,2,NaN
1627476900,25400,25412,25398,25412,3,NaN
1627477200,25410,25600,25410,25600,21,NaN
1627477500,25559,25571,25559,25568,5,NaN
1627478100,25600,25619,25600,25618,3,NaN
1627478400,25619,25619,25604,25604,4,NaN
1627479000,25608,25655,25608,25655,9,NaN
1627479300,25613,25616,25588,25616,3,NaN
1627479900,25554,25554,25554,25554,1,NaN
1627480200,25580,25600,25580,25600,2,NaN
1627480500,25620,25660,25620,25656,5,NaN
1627480800,25668,25682,25653,25675,6,NaN
1627481100,25680,25688,25680,25688,2,NaN
1627481400,25650,25672,25650,25651,3,NaN
