time,open,high,low,close,Volume,Volume MA,ParabolicSAR,Plot
1440983700,21332,21444,21332,21444,2,NaN,NaN,1
1440984000,21570,21570,21540,21540,2,NaN,21332,-1
1440984300,21550,21550,21523,21523,7,NaN,21332,-1
1440984600,21500,21500,21449,21460,7,NaN,21355.8,-0.7843137254901961
1440984900,21400,21400,21352,21352,6,NaN,21570,-1
1440985200,21384,21425,21384,21407,6,NaN,21548.2,0.5609756097560976
1440985500,21387,21400,21360,21360,5,NaN,21528.58,-0.675
1440985800,21350,21380,21350,21360,7,NaN,21510.922000000002,0.3333333333333333
1440986100,21378,21407,21362,21407,5,NaN,21491.611360000003,0.6444444444444445
1440986700,21415,21415,21370,21370,8,NaN,21474.617996800003,-1
1440987000,21363,21365,21363,21365,2,NaN,21459.663837184,1
1440987300,21348,21348,21303,21303,5,NaN,21446.504176721923,-1
1440987600,21310,21340,21305,21340,8,NaN,21426.413591980854,0.8571428571428571
1440987900,21320,21332,21306,21332,12,NaN,21409.135689103536,0.46153846153846156
1440988200,21320,21325,21320,21325,2,NaN,21394.276692629042,1
1440988500,21344,21344,21342,21342,2,NaN,21381.497955660976,-1
1440988800,21350,21350,21260,21264,13,NaN,21370.50824186844,-0.9555555555555556
1440989100,21261,21300,21261,21293,11,NaN,21352.82692316949,0.8205128205128205
1440989400,21264,21280,21264,21280,3,NaN,21350,1
1440989700,21276,21276,21233,21233,3,5.8,21335.6,-1
1440990000,21232,21252,21200,21210,10,6.2,21317.131999999998,-0.4230769230769231
1440990300,21236,21265,21230,21265,5,6.35,21293.705599999998,0.8285714285714286
1440990600,21267,21288,21262,21284,7,6.35,21200,0.6538461538461539
1440990900,21298,21298,21280,21280,9,6.45,21208.8,-1
1440991200,21297,21315,21296,21315,5,6.4,21219.504,0.9473684210526315
1440991500,21319,21319,21319,21319,2,6.2,21232.87344,NaN
1440991800,21290,21290,21284,21284,2,6.05,21246.6536896,-1
1440992100,21286,21286,21277,21277,9,6.15,21258.229099264,-1
1440992400,21263,21263,21263,21263,1,5.95,21319,NaN
1440992700,21228,21228,21228,21228,1,5.6,21313.4,NaN
1440993000,21232,21251,21232,21250,3,5.65,21303.152000000002,0.9473684210526315
1440997500,21251,21251,21251,21251,1,5.45,21294.13376,NaN
1440998400,21273,21273,21273,21273,1,5.1,21286.197708800002,NaN
1440998700,21300,21380,21300,21380,7,4.85,21228,1
1440999000,21382,21382,21382,21382,1,4.8,21243.2,NaN
1440999300,21445,21447,21435,21435,8,5.1,21259.856,-0.8333333333333334
1440999600,21428,21437,21428,21437,2,4.55,21286.05616,1
1440999900,21472,21479,21439,21439,5,4.25,21308.5882976,-0.825
1441000200,21436,21448,21436,21437,3,4.25,21335.854169984,0.08333333333333333
1441000500,21405,21405,21370,21370,2,4.2,21358.75750278656,-1
1441000800,21420,21420,21420,21420,1,3.75,21370,NaN
1441001400,21433,21433,21433,21433,1,3.55,21370,NaN
1441001700,21398,21398,21398,21398,5,3.45,21387.44,NaN
1441002000,21370,21396,21370,21396,4,3.2,21479,1
1441002300,21444,21444,21444,21444,1,3,21468.1,NaN
1441002600,21435,21450,21435,21450,2,3,21458.289999999997,1
1441003200,21400,21400,21400,21400,1,2.95,21450,NaN
1441003500,21411,21440,21347,21351,94,7.2,21450,-0.6451612903225806
1441003800,21354,21354,21320,21321,23,8.3,21440,-0.9705882352941176
1441004100,21361,21378,21361,21378,11,8.8,21440,1
1441004400,21397,21443,21396,21443,29,10.1,21320,0.9787234042553191
1441004700,21439,21508,21438,21492,31,11.6,21332.3,0.7571428571428571
1441005000,21510,21512,21481,21481,14,12.25,21353.384,-0.9354838709677419
1441005600,21458,21467,21458,21467,2,12,21375.590239999998,1
1441005900,21447,21482,21447,21482,5,12.2,21394.6876064,1
1441006500,21423,21423,21366,21366,10,12.3,21512,-1
1441007400,21380,21380,21370,21370,5,12.45,21497.4,-1
1441007700,21410,21560,21394,21560,13,12.85,21366,0.9036144578313253
1441008000,21500,21500,21465,21470,5,12.95,21370,-0.8571428571428571
1441008300,21466,21467,21450,21450,4,13.05,21389,-0.9411764705882353
1441008600,21425,21450,21419,21441,5,13.25,21406.1,0.5161290322580645
1441025100,21430,21430,21430,21430,1,13.25,21419,NaN
1441027200,21400,21400,21400,21400,1,13.05,21560,NaN
1441027800,21420,21437,21420,21437,2,12.95,21544,1
1441028400,21360,21360,21360,21360,1,12.95,21529.6,NaN
1441028700,21373,21373,21330,21330,4,13.05,21509.248,-1
1441029600,21300,21300,21300,21300,1,13.05,21484.15328,NaN
1441029900,21282,21282,21282,21282,1,8.4,21454.688755199997,NaN
1441030200,21305,21305,21305,21305,1,7.3,21423.604779264,NaN
1441031400,21375,21375,21375,21375,1,6.8,21398.11591899648,NaN
1441033800,21350,21350,21350,21350,1,5.4,21377.21505357711,NaN
1441034100,21401,21402,21400,21400,4,4.05,21282,-0.5
1441034700,21420,21430,21420,21430,5,3.6,21294,1
1441035300,21421,21421,21421,21421,1,3.55,21310.32,NaN
1441035600,21470,21500,21470,21493,4,3.5,21324.6816,0.7666666666666667
1441070100,21320,21380,21303,21367,7,3.35,21500,0.6103896103896104
1441070400,21360,21360,21334,21334,3,3.25,21500,-1
1441070700,21301,21312,21288,21312,4,2.8,21480.3,0.4583333333333333
1441071000,21368,21386,21330,21342,6,2.85,21457.224,-0.4642857142857143
1441071300,21360,21403,21353,21353,6,2.95,21436.91712,-0.14
1441071600,21325,21347,21325,21347,2,2.8,21419.0470656,1
1441071900,21397,21438,21377,21377,8,3.15,21288,-0.32786885245901637
1441072200,21412,21412,21358,21358,2,3.2,21303,-1
1441072500,21350,21352,21300,21300,24,4.3,21438,-0.9615384615384616
1441072800,21280,21309,21250,21250,9,4.7,21424.2,-0.5084745762711864
1441073100,21251,21282,21234,21282,10,5,21403.296000000002,0.6458333333333334
1441073400,21285,21313,21250,21250,13,5.6,21379.59456,-0.5555555555555556
1441073700,21253,21272,21222,21228,13,6.2,21359.2113216,-0.5
1441074000,21212,21249,21212,21249,4,6.35,21337.257510144,1
1441074300,21290,21290,21274,21276,6,6.6,21314.71115831808,-0.875
1441074600,21312,21328,21299,21300,6,6.85,21212,-0.41379310344827586
1441074900,21305,21385,21305,21385,9,7.1,21223.6,1
1441075200,21363,21364,21348,21348,6,7.15,21242.967999999997,-0.9375
1441075800,21361,21361,21361,21361,1,7.15,21260.01184,NaN
1441076100,21386,21386,21386,21386,1,7,21275.0104192,NaN
1441076400,21415,21423,21404,21404,4,6.85,21290.548960512,-0.5789473684210527
1441077000,21380,21380,21373,21373,4,6.9,21311.74112683008,-1
1441077300,21378,21378,21348,21348,2,6.8,21329.542546537265,-1
1441077600,21305,21350,21301,21350,4,6.7,21423,0.9183673469387755
1441078200,21380,21380,21380,21380,2,6.5,21410.8,NaN
1441078500,21361,21372,21359,21372,9,6.85,21399.82,0.8461538461538461
