time,open,high,low,close,PSAR,Long Start,Buy Label,Short Start,Sell Label,,Volume,Volume MA,PSAR,Long Start,Buy Label,Short Start,Sell Label,,PSAR,Long Start,Buy Label,Short Start,Sell Label,,ADX,RSI,g/l range 2,g/l range 1,g/l per candle
1598836500,25711,25711,25653,25653,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,25682,NaN,NaN,NaN,NaN,NaN,25682,NaN,NaN,NaN,NaN,0
1598836800,25668,25679,25668,25679,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,25653,25653,25653,NaN,NaN,25673.5,25653,25653,25653,NaN,NaN,25673.5,NaN,NaN,NaN,NaN,0
1598837100,25695,25721,25687,25704,NaN,NaN,NaN,NaN,NaN,NaN,19,NaN,25653,NaN,NaN,NaN,NaN,25701.75,25653,NaN,NaN,NaN,NaN,25701.75,NaN,NaN,NaN,NaN,0
1598837400,25701,25760,25700,25700,NaN,NaN,NaN,NaN,NaN,NaN,19,NaN,25668,NaN,NaN,NaN,NaN,25715.25,25668,NaN,NaN,NaN,NaN,25715.25,NaN,NaN,NaN,NaN,0
1598837700,25700,25705,25655,25691,NaN,NaN,NaN,NaN,NaN,NaN,12,NaN,25760,NaN,NaN,25760,25760,25687.75,25760,NaN,NaN,25760,25760,25687.75,NaN,NaN,NaN,NaN,0
1598838000,25660,25702,25660,25680,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,25760,NaN,NaN,NaN,NaN,25675.5,25760,NaN,NaN,NaN,NaN,25675.5,NaN,NaN,NaN,NaN,0
1598838300,25750,25780,25746,25746,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,25655,25655,25655,NaN,NaN,25755.5,25655,25655,25655,NaN,NaN,25755.5,NaN,NaN,NaN,NaN,0
1598838600,25750,25781,25727,25727,NaN,NaN,NaN,NaN,NaN,NaN,57,NaN,25660,NaN,NaN,NaN,NaN,25746.25,25660,NaN,NaN,NaN,NaN,25746.25,NaN,NaN,NaN,NaN,0
1598838900,25726,25755,25726,25734,NaN,NaN,NaN,NaN,NaN,NaN,10,NaN,25687.83,NaN,NaN,NaN,NaN,25735.25,25689.04,NaN,NaN,NaN,NaN,25735.25,NaN,NaN,NaN,NaN,0
1598839200,25730,25757,25725,25725,NaN,NaN,NaN,NaN,NaN,NaN,15,NaN,25709.259100000003,NaN,NaN,NaN,NaN,25734.25,25711.1104,NaN,NaN,NaN,NaN,25734.25,NaN,NaN,NaN,NaN,0
1598839500,25722,25722,25700,25710,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,25781,NaN,NaN,25781,25781,25713.5,25781,NaN,NaN,25781,25781,25713.5,NaN,NaN,NaN,NaN,0
1598839800,25740,25753,25740,25753,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,25764.8,NaN,NaN,NaN,NaN,25746.5,25764.8,NaN,NaN,NaN,NaN,25746.5,NaN,NaN,NaN,NaN,0
1598840100,25732,25732,25724,25724,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,25753,NaN,NaN,NaN,NaN,25728,25753,NaN,NaN,NaN,NaN,25728,NaN,NaN,NaN,NaN,0
1598840400,25715,25732,25708,25713,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,25753,NaN,NaN,NaN,NaN,25717,25753,NaN,NaN,NaN,NaN,25717,NaN,NaN,NaN,NaN,0
1598840700,25728,25742,25728,25740,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,25742.4,NaN,NaN,NaN,NaN,25734.5,25742.4,NaN,NaN,NaN,NaN,25734.5,NaN,64.45182724252491,0.33914162086305694,0.33914162086305694,0
1598841000,25745,25770,25745,25770,NaN,NaN,NaN,NaN,NaN,NaN,7,NaN,25700,25700,25700,NaN,NaN,25757.5,25700,25700,25700,NaN,NaN,25757.5,NaN,67.89753057927533,0.35437517037267807,0.35437517037267807,0
1598841300,25720,25720,25683,25683,NaN,NaN,NaN,NaN,NaN,NaN,7,NaN,25770,NaN,NaN,25770,25770,25701.5,25770,NaN,NaN,25770,25770,25701.5,NaN,52.11975852059797,-0.08169934640522876,-0.08169934640522876,0
1598841600,25689,25689,25689,25689,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,25770,NaN,NaN,NaN,NaN,25689,25770,NaN,NaN,NaN,NaN,25689,NaN,52.93209001903305,-0.042801556420233464,-0.042801556420233464,0
1598841900,25670,25733,25670,25733,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,25752.6,NaN,NaN,NaN,NaN,25701.5,25752.6,NaN,NaN,NaN,NaN,25701.5,NaN,58.493435320474845,0.1634813748005138,0.1634813748005138,0
1598842200,25733,25738,25720,25738,NaN,NaN,NaN,NaN,NaN,NaN,5,9.8,25670,25670,25670,NaN,NaN,25732.25,25670,25670,25670,NaN,NaN,25732.25,NaN,59.085050055642704,0.22585669781931464,0.22585669781931464,0
1598842500,25742,25750,25739,25739,NaN,NaN,NaN,NaN,NaN,NaN,5,9.95,25670,NaN,NaN,NaN,NaN,25742.5,25670,NaN,NaN,NaN,NaN,25742.5,NaN,59.21027408046232,-0.027188689505165852,-0.027188689505165852,0
1598842800,25727,25739,25714,25714,NaN,NaN,NaN,NaN,NaN,NaN,5,10.05,25688.4,NaN,NaN,NaN,NaN,25723.5,25689.2,NaN,NaN,NaN,NaN,25723.5,NaN,54.70273628563987,-0.050530570995452245,-0.050530570995452245,0
1598843100,25715,25715,25700,25700,NaN,NaN,NaN,NaN,NaN,NaN,2,9.2,25750,NaN,NaN,25750,25750,25707.5,25750,NaN,NaN,25750,25750,25707.5,NaN,52.30153032785868,-0.1321209295095982,-0.1321209295095982,0
1598843400,25690,25692,25685,25685,NaN,NaN,NaN,NaN,NaN,NaN,5,8.5,25740,NaN,NaN,NaN,NaN,25688,25740,NaN,NaN,NaN,NaN,25688,NaN,49.78022675739658,-0.1554907677356657,-0.1554907677356657,0
1598843700,25683,25686,25683,25686,NaN,NaN,NaN,NaN,NaN,NaN,2,8,25727.35,NaN,NaN,NaN,NaN,25684.5,25726.8,NaN,NaN,NaN,NaN,25684.5,NaN,49.95343892925645,-0.09334889148191365,-0.09334889148191365,0
1598844000,25674,25674,25630,25630,NaN,NaN,NaN,NaN,NaN,NaN,10,8.1,25715.819,NaN,NaN,NaN,NaN,25652,25714.536,NaN,NaN,NaN,NaN,25652,NaN,41.351970829754215,-0.47761425853298645,-0.47761425853298645,0
1598844300,25665,25665,25665,25665,NaN,NaN,NaN,NaN,NaN,NaN,1,8,25690.93149,NaN,NaN,NaN,NaN,25665,25689.1752,NaN,NaN,NaN,NaN,25665,NaN,47.4431480598452,-0.22935779816513763,-0.22935779816513763,0
1598844600,25678,25700,25678,25700,NaN,NaN,NaN,NaN,NaN,NaN,5,5.4,25630,25630,25630,NaN,NaN,25689,25630,25630,25630,NaN,NaN,25689,14.210042540591623,52.73022939562066,-0.050558083459728544,-0.050558083459728544,0
1598844900,25680,25680,25674,25674,NaN,NaN,NaN,NaN,NaN,NaN,2,5,25644,NaN,NaN,NaN,NaN,25677,25644,NaN,NaN,NaN,NaN,25677,13.337789386090604,48.80269129180403,-0.2564102564102564,-0.2564102564102564,0
1598845200,25659,25659,25659,25659,NaN,NaN,NaN,NaN,NaN,NaN,2,4.35,25655.2,NaN,NaN,NaN,NaN,25659,25655.2,NaN,NaN,NaN,NaN,25659,12.890359272213578,46.64414922422519,-0.4307334109429569,-0.4307334109429569,0
