time,open,high,low,close,Volume,Volume MA,ParabolicSAR,Plot
1475198100,23414,23420,23414,23420,2,NaN,NaN,1
1475198400,23333,23356,23317,23352,7,NaN,23420,0.48717948717948717
1475198700,23330,23338,23323,23325,6,NaN,23420,-0.3333333333333333
1475199000,23405,23405,23357,23357,3,NaN,23409.7,-1
1475199300,23370,23402,23370,23402,7,NaN,23317,1
1475199600,23400,23406,23388,23406,6,NaN,23325.5,0.3333333333333333
1475199900,23402,23411,23384,23400,8,NaN,23335.16,-0.07407407407407407
1475200200,23405,23432,23405,23432,4,NaN,23345.7776,1
1475200500,23401,23401,23401,23401,2,NaN,23359.573184,NaN
1475200800,23401,23401,23401,23401,1,NaN,23371.16147456,NaN
1475201100,23390,23390,23367,23374,3,NaN,23432,-0.6956521739130435
1475201700,23393,23393,23388,23388,2,NaN,23425.5,-1
1475202000,23383,23383,23383,23383,2,NaN,23419.65,NaN
1475202300,23350,23350,23350,23350,2,NaN,23414.385000000002,NaN
1475202600,23357,23357,23357,23357,1,NaN,23406.6588,NaN
1475202900,23345,23356,23344,23355,6,NaN,23399.859744,0.8333333333333334
1475203200,23372,23372,23372,23372,1,NaN,23392.03937984,NaN
1475203800,23400,23400,23400,23400,4,NaN,23344,NaN
1475204400,23399,23411,23399,23411,32,NaN,23349.6,1
1475204700,23410,23410,23410,23410,1,5,23356.967999999997,NaN
1475205000,23410,23410,23410,23410,1,4.95,23363.451839999998,NaN
1475205300,23418,23440,23418,23422,12,5.2,23369.1576192,0.18181818181818182
1475205600,23420,23420,23411,23411,6,5.2,23379.075552512,-1
1475205900,23397,23397,23397,23397,1,5.1,23387.60497516032,NaN
1475206200,23373,23376,23373,23376,2,4.85,23440,1
1475206800,23378,23386,23378,23386,2,4.65,23433.3,1
1475207400,23393,23393,23393,23393,1,4.3,23427.27,NaN
1475211600,23408,23409,23401,23401,3,4.25,23421.843,-0.875
1475211900,23408,23408,23408,23408,1,4.2,23416.9587,NaN
1475212200,23402,23402,23402,23402,2,4.25,23412.56283,NaN
1475212800,23401,23401,23401,23401,1,4.15,23408.606547,NaN
1475213100,23388,23388,23388,23388,1,4.1,23405.0458923,NaN
1475213400,23382,23382,23377,23377,2,4.1,23401.84130307,-1
1475213700,23380,23380,23359,23359,5,4.25,23398.957172763,-1
1475214000,23363,23370,23363,23370,2,4.3,23394.16231203144,1
1475214300,23353,23353,23352,23352,2,4.1,23389.942834587666,-1
1475214600,23340,23340,23338,23338,2,4.15,23384.630837745393,-1
1475214900,23354,23355,23354,23355,2,4.05,23377.16990370613,1
1475215200,23341,23356,23336,23356,4,2.65,23370.90271911315,0.75
1475215500,23330,23346,23320,23346,6,2.9,23364.620229672782,0.6153846153846154
1475215800,23358,23358,23349,23354,7,3.2,23320,-0.4444444444444444
1475216400,23320,23320,23320,23320,1,2.65,23358,NaN
1475216700,23310,23310,23280,23284,15,3.1,23358,-0.8666666666666667
1475217000,23287,23291,23287,23291,3,3.2,23348.64,1
1475217600,23277,23285,23268,23285,7,3.45,23340.4032,0.47058823529411764
1475217900,23280,23303,23280,23300,7,3.7,23330.266752,0.8695652173913043
1475218200,23312,23320,23312,23320,4,3.85,23321.549406719998,1
1475218500,23317,23317,23303,23303,3,3.85,23268,-1
1475218800,23302,23302,23280,23280,3,3.95,23272.9,-1
1475219100,23290,23311,23290,23311,2,3.95,23277.31,1
1475219400,23278,23283,23278,23283,2,4,23317,1
1475219700,23280,23280,23255,23255,3,4.1,23313.1,-1
1475220000,23250,23250,23197,23218,16,4.8,23306.127999999997,-0.6037735849056604
1475220300,23210,23253,23210,23253,5,4.8,23290.850079999997,1
1475220600,23268,23272,23246,23251,4,4.9,23277.711068799996,-0.6538461538461539
1475220900,23260,23270,23249,23249,4,5,23197,-0.5238095238095238
1475221200,23236,23248,23236,23248,2,5,23204.3,1
1475221500,23270,23270,23270,23270,1,4.95,23210.87,NaN
1475221800,23241,23241,23241,23241,1,4.8,23216.783,NaN
1475222100,23230,23230,23222,23230,4,4.7,23270,0
1475222400,23219,23223,23219,23220,4,4.55,23265.2,0.25
1475222700,23250,23266,23250,23266,4,4.7,23219,1
1475223000,23273,23280,23271,23280,8,4.35,23219,0.7777777777777778
1475223300,23281,23281,23281,23281,1,4.25,23226.32,NaN
1475223600,23280,23283,23280,23283,2,4,23233.9752,1
1475223900,23283,23300,23283,23300,8,4.05,23241.819168,1
1475226900,23321,23321,23321,23321,1,3.9,23252.291717760003,NaN
1475227200,23325,23325,23325,23325,1,3.8,23266.033374208004,NaN
1475228100,23325,23325,23325,23325,1,3.7,23277.826699366404,NaN
1475228400,23337,23337,23337,23337,1,3.65,23287.261359493124,NaN
1475228700,23340,23340,23324,23324,4,3.75,23297.2090875945,-1
1475229000,23315,23315,23315,23315,1,3.65,23305.7672700756,NaN
1475231400,23278,23278,23278,23278,2,2.95,23340,NaN
1475233500,23318,23318,23318,23318,1,2.75,23333.8,NaN
1475237700,23348,23350,23348,23350,5,2.8,23278,1
1475238300,23350,23350,23350,23350,1,2.65,23285.2,NaN
1475238900,23370,23388,23370,23388,4,2.75,23291.68,1
1475239200,23395,23395,23395,23395,1,2.75,23303.238400000002,NaN
1475239500,23371,23380,23371,23380,2,2.8,23316.085024,1
1475240100,23380,23380,23380,23380,1,2.65,23327.13312064,NaN
1475240400,23395,23395,23395,23395,1,2.5,23336.6344837504,NaN
1475240700,23391,23391,23391,23391,3,2.45,23344.805656025343,NaN
1475241000,23391,23402,23391,23402,4,2.25,23351.832864181793,1
1475241300,23419,23428,23419,23428,4,2.4,23359.859605912705,1
1475242200,23448,23470,23448,23463,6,2.6,23372.12487684842,0.6818181818181818
1475242500,23442,23444,23435,23435,4,2.4,23391.699901478736,-0.7777777777777778
1475244000,23434,23443,23434,23443,2,2.45,23407.35992118299,1
1475244300,23450,23450,23450,23450,1,2.45,23419.88793694639,NaN
1475244600,23466,23466,23465,23465,3,2.55,23429.91034955711,-1
1475244900,23462,23462,23439,23439,2,2.6,23437.92827964569,-1
