time,open,high,low,close,Volume,Volume MA
1601428500,23401,23555,23401,23555,14,NaN
1601428800,23544,23550,23521,23525,6,NaN
1601429100,23530,23555,23528,23538,13,NaN
1601429400,23500,23500,23400,23435,27,NaN
1601429700,23422,23444,23414,23444,12,NaN
1601430000,23451,23451,23440,23440,2,NaN
1601430300,23433,23440,23433,23440,2,NaN
1601430600,23442,23442,23439,23439,4,NaN
1601430900,23429,23443,23421,23443,6,NaN
1601431200,23464,23471,23464,23464,3,NaN
1601431500,23459,23516,23449,23516,9,NaN
1601431800,23500,23531,23496,23531,8,NaN
1601432100,23550,23633,23550,23622,25,NaN
1601432400,23643,23643,23620,23625,18,NaN
1601432700,23650,23650,23640,23645,15,NaN
1601433000,23660,23712,23660,23708,26,NaN
1601433300,23710,23750,23708,23746,24,NaN
1601433600,23733,23733,23650,23650,22,NaN
1601433900,23679,23679,23640,23640,8,NaN
1601434200,23671,23687,23671,23687,6,12.5
1601434500,23684,23684,23664,23664,3,11.95
1601434800,23668,23668,23620,23624,18,12.55
1601435100,23629,23631,23589,23589,10,12.4
1601435400,23575,23575,23500,23500,24,12.25
1601435700,23532,23549,23528,23549,13,12.3
1601436000,23552,23552,23536,23536,6,12.5
1601436300,23543,23551,23543,23551,9,12.85
1601436900,23540,23540,23540,23540,1,12.7
1601437500,23540,23540,23540,23540,1,12.45
1601437800,23536,23536,23517,23517,5,12.55
1601438100,23527,23527,23527,23527,1,12.15
1601442000,23500,23518,23500,23518,5,12
1601442300,23520,23540,23520,23526,6,11.05
1601442600,23510,23510,23480,23480,3,10.3
1601442900,23486,23488,23484,23488,3,9.7
1601443200,23485,23485,23485,23485,2,8.5
1601443500,23479,23479,23447,23454,17,8.15
1601443800,23444,23454,23400,23411,21,8.1
1601444100,23433,23440,23431,23440,5,7.95
1601444400,23448,23448,23448,23448,1,7.7
1601444700,23427,23427,23375,23375,17,8.4
1601445000,23372,23399,23372,23399,4,7.7
1601445300,23387,23387,23359,23359,9,7.65
1601445600,23374,23374,23341,23366,8,6.85
