time,open,high,low,close,Volume,Volume MA,ParabolicSAR,Plot
1471016400,22674,22674,22664,22664,3,NaN,NaN,-1
1471223400,22660,22660,22660,22660,2,NaN,22674,NaN
1471223700,22678,22678,22650,22654,7,NaN,22650,-0.8571428571428571
1471224000,22657,22657,22657,22657,1,NaN,22650,NaN
1471224300,22712,22714,22712,22714,2,NaN,22650,1
1471224600,22733,22733,22720,22720,2,NaN,22657,-1
1471224900,22729,22769,22729,22769,5,NaN,22667.64,1
1471225200,22777,22777,22766,22766,2,NaN,22683.8576,-1
1471225500,22790,22800,22790,22800,4,NaN,22700.623231999998,1
1471225800,22799,22833,22799,22833,5,NaN,22720.4985856,1
1471226100,22820,22820,22803,22810,7,NaN,22742.998868479997,-0.5882352941176471
1471226400,22777,22789,22777,22789,4,NaN,22760.999094783998,1
1471227300,22807,22807,22784,22799,4,NaN,22775.3992758272,-0.34782608695652173
1471227900,22801,22818,22801,22818,3,NaN,22777,1
1471228800,22804,22804,22804,22804,1,NaN,22784,NaN
1471229100,22796,22796,22796,22796,1,NaN,22793.8,NaN
1471230600,22809,22809,22809,22809,1,NaN,22796,NaN
1471231500,22850,22866,22850,22866,6,NaN,22796,1
1471231800,22856,22856,22856,22856,4,NaN,22809,NaN
1471232100,22854,22854,22854,22854,2,3.3,22820.4,NaN
1471237200,22880,22880,22863,22863,2,3.25,22829.52,-1
1471237500,22900,22900,22900,22900,1,3.2,22839.616,NaN
1471238100,22898,22898,22891,22891,2,2.95,22851.6928,-1
1471239000,22890,22890,22885,22885,5,3.15,22861.35424,-1
1471239300,22894,22894,22879,22879,2,3.15,22869.083392,-1
1471240800,22859,22877,22859,22870,4,3.25,22900,0.6111111111111112
1471241400,22864,22864,22854,22854,3,3.15,22895.9,-1
1471241700,22846,22846,22846,22846,1,3.1,22890.872000000003,NaN
1471242300,22857,22857,22857,22857,1,2.95,22884.589920000002,NaN
1471242600,22870,22870,22870,22870,3,2.85,22879.187331200003,NaN
1471243500,22878,22878,22878,22878,2,2.6,22846,NaN
1471244400,22850,22850,22850,22850,2,2.5,22849.2,NaN
1471245600,22879,22880,22879,22880,2,2.4,22850,1
1471247100,22876,22876,22876,22876,1,2.3,22850,NaN
1471247400,22876,22876,22876,22876,1,2.3,22853.6,NaN
