time,open,high,low,close,Volume,Volume MA
1635326100,25528,25528,25486,25486,3,NaN
1635326400,25506,25506,25506,25506,1,NaN
1635327000,25500,25500,25480,25480,8,NaN
1635327300,25496,25496,25496,25496,1,NaN
1635328200,25496,25496,25496,25496,1,NaN
1635328500,25487,25488,25487,25488,2,NaN
1635328800,25515,25515,25515,25515,1,NaN
1635330300,25487,25487,25480,25480,3,NaN
1635330600,25487,25487,25480,25480,3,NaN
1635330900,25496,25498,25491,25491,3,NaN
1635331200,25487,25487,25487,25487,1,NaN
1635331500,25480,25480,25480,25480,2,NaN
1635331800,25478,25478,25468,25468,2,NaN
1635332400,25460,25465,25460,25465,2,NaN
1635332700,25463,25463,25462,25462,4,NaN
1635335700,25469,25469,25469,25469,1,NaN
1635336000,25460,25467,25460,25467,2,NaN
1635336300,25474,25474,25474,25474,1,NaN
1635337500,25472,25472,25472,25472,1,NaN
1635337800,25500,25500,25500,25500,1,NaN
1635338400,25512,25512,25512,25512,2,NaN
1635339300,25505,25505,25505,25505,1,NaN
1635340200,25505,25505,25505,25505,1,NaN
1635341400,25503,25503,25503,25503,1,NaN
1635341700,25563,25565,25563,25565,2,NaN
1635342000,25580,25585,25580,25585,2,NaN
1635342300,25600,25603,25600,25603,13,NaN
1635342900,25596,25596,25596,25596,1,NaN
1635343200,25601,25601,25598,25598,2,NaN
1635343500,25585,25590,25585,25590,4,NaN
1635343800,25608,25614,25608,25614,4,NaN
1635344100,25600,25600,25600,25600,1,NaN
1635344700,25605,25606,25580,25580,26,NaN
1635345000,25564,25584,25564,25584,5,NaN
1635345600,25555,25555,25555,25555,1,NaN
1635345900,25558,25558,25556,25556,2,NaN
1635346200,25550,25550,25550,25550,2,NaN
1635346500,25564,25564,25548,25548,5,NaN
1635346800,25550,25550,25550,25550,1,NaN
1635347100,25580,25580,25580,25580,1,NaN
1635347400,25570,25570,25569,25569,3,NaN
1635347700,25557,25557,25557,25557,1,NaN
1635348000,25540,25540,25540,25540,1,NaN
1635348600,25515,25515,25509,25509,3,NaN
1635349500,25506,25506,25506,25506,1,NaN
1635351000,25523,25523,25523,25523,1,NaN
1635351300,25537,25537,25533,25533,3,NaN
1635353700,25530,25530,25530,25530,1,NaN
1635354000,25535,25560,25535,25560,21,NaN
1635354900,25562,25562,25562,25562,1,NaN
1635355500,25555,25558,25555,25558,2,NaN
1635356700,25570,25570,25570,25570,1,NaN
1635358200,25573,25573,25573,25573,1,NaN
1635358500,25585,25585,25585,25585,1,NaN
1635360600,25595,25595,25595,25595,1,NaN
1635360900,25580,25580,25577,25577,2,NaN
1635383700,25571,25610,25571,25601,9,NaN
1635384000,25585,25585,25546,25569,8,NaN
1635384300,25576,25586,25576,25586,3,NaN
1635384600,25603,25603,25520,25543,13,NaN
1635384900,25557,25628,25557,25609,19,NaN
1635385200,25620,25690,25620,25655,38,NaN
1635385500,25673,25673,25592,25616,27,NaN
1635385800,25616,25650,25616,25620,15,NaN
1635386100,25624,25624,25580,25582,6,NaN
1635386400,25569,25595,25569,25593,8,NaN
1635386700,25606,25620,25580,25580,7,NaN
1635387000,25580,25626,25580,25626,3,NaN
1635387300,25624,25624,25602,25602,3,NaN
1635387600,25599,25599,25550,25550,9,NaN
1635387900,25525,25525,25469,25481,18,NaN
1635388200,25487,25493,25456,25456,16,NaN
1635388500,25466,25483,25450,25483,13,NaN
1635388800,25503,25503,25468,25498,9,NaN
1635389100,25511,25533,25499,25521,6,NaN
1635389400,25500,25500,25470,25477,5,NaN
1635389700,25480,25480,25480,25480,2,NaN
1635390000,25476,25476,25473,25476,3,NaN
1635390300,25508,25515,25488,25488,4,NaN
1635390600,25480,25480,25443,25461,10,NaN
1635390900,25450,25466,25450,25453,10,NaN
1635391200,25446,25478,25446,25478,4,NaN
1635391500,25488,25488,25474,25474,2,NaN
1635391800,25479,25479,25455,25468,7,NaN
1635392400,25470,25470,25470,25470,1,NaN
1635392700,25495,25498,25485,25485,3,NaN
1635393000,25500,25511,25500,25511,4,NaN
1635393300,25520,25530,25514,25514,9,NaN
1635397200,25533,25606,25533,25566,24,NaN
1635397500,25569,25569,25555,25561,7,NaN
1635397800,25540,25550,25540,25550,3,NaN
1635398400,25554,25560,25542,25542,15,NaN
1635398700,25550,25557,25549,25557,3,NaN
1635399000,25555,25557,25547,25547,4,NaN
1635399300,25547,25547,25547,25547,1,NaN
1635399600,25562,25562,25562,25562,4,NaN
1635399900,25567,25580,25564,25564,4,NaN
1635400200,25557,25559,25557,25559,4,NaN
1635401100,25537,25537,25524,25525,7,NaN
1635401700,25529,25529,25529,25529,2,NaN
1635402000,25549,25549,25549,25549,1,NaN
1635402300,25549,25549,25545,25547,10,NaN
1635402600,25525,25525,25500,25500,9,NaN
1635402900,25490,25491,25426,25426,21,NaN
1635403200,25410,25422,25393,25419,18,NaN
1635403500,25433,25443,25433,25442,7,NaN
1635403800,25435,25456,25435,25456,5,NaN
1635404100,25468,25475,25462,25462,5,NaN
1635404400,25467,25489,25467,25489,5,NaN
1635404700,25474,25474,25474,25474,2,NaN
1635405000,25480,25500,25480,25498,7,NaN
1635405300,25480,25500,25480,25500,5,NaN
1635405600,25505,25505,25500,25504,3,NaN
1635405900,25500,25500,25500,25500,1,NaN
1635406200,25504,25504,25488,25488,5,NaN
1635407100,25477,25477,25470,25470,2,NaN
1635407400,25460,25460,25460,25460,1,NaN
1635407700,25470,25470,25470,25470,1,NaN
1635408000,25450,25480,25441,25475,8,NaN
1635408300,25444,25466,25444,25463,3,NaN
