time,open,high,low,close,Volume
1439542200,20400,20400,20400,20400,1
1439545800,20390,20390,20390,20390,1
1439554200,20400,20400,20400,20400,1
1439569500,20450,20450,20450,20450,1
1439769600,20480,20480,20480,20480,4
1439769900,20500,20520,20500,20520,3
1439770200,20550,20560,20550,20560,4
1439771100,20560,20560,20560,20560,2
1439783400,20450,20450,20430,20430,2
1439785500,20450,20450,20450,20450,1
1439787300,20440,20440,20440,20440,1
1439799900,20480,20480,20480,20480,1
1439800500,20500,20500,20500,20500,1
1439808000,20520,20520,20520,20520,1
1439814900,20450,20450,20450,20450,1
1439817300,20460,20460,20460,20460,1
1439819400,20460,20460,20460,20460,1
1439820300,20470,20470,20470,20470,1
1439823600,20520,20520,20520,20520,1
1439833200,20540,20540,20540,20540,7
1439833500,20550,20550,20550,20550,2
1439833800,20550,20550,20550,20550,2
1439856000,20520,20520,20520,20520,1
1439856300,20530,20530,20530,20530,2
1439856600,20540,20540,20540,20540,2
1439856900,20520,20520,20520,20520,2
1439857200,20530,20530,20530,20530,3
1439858100,20520,20520,20520,20520,2
1439858700,20520,20520,20520,20520,3
1439860500,20530,20530,20530,20530,2
1439860800,20540,20540,20540,20540,1
1439861400,20540,20540,20540,20540,2
1439861700,20530,20530,20530,20530,1
1439864400,20520,20520,20500,20500,4
1439864700,20470,20470,20470,20470,6
1439865000,20450,20450,20450,20450,1
1439873400,20500,20500,20500,20500,1
1439875200,20460,20460,20460,20460,4
1439876100,20450,20450,20440,20440,8
1439877600,20430,20430,20430,20430,1
1439884200,20400,20400,20400,20400,1
1439884800,20360,20360,20360,20360,1
1439885700,20380,20380,20380,20380,1
1439886000,20380,20380,20380,20380,1
1439886300,20360,20360,20360,20360,1
1439899500,20350,20350,20350,20350,4
1439901000,20350,20350,20350,20350,1
1439920200,20380,20380,20380,20380,1
1439942400,20360,20360,20360,20360,2
1439942700,20390,20390,20390,20390,1
1439943600,20380,20380,20380,20380,1
1439943900,20390,20390,20390,20390,1
1439944500,20400,20400,20400,20400,1
1439946900,20370,20370,20370,20370,1
1439947200,20330,20330,20330,20330,1
1439953200,20330,20330,20330,20330,1
1439953500,20310,20310,20310,20310,2
1439955000,20290,20300,20290,20300,3
1439955900,20270,20270,20230,20230,7
1439956200,20210,20210,20190,20200,5
1439956500,20170,20170,20150,20150,3
1439956800,20150,20180,20150,20180,6
1439957700,20180,20180,20180,20180,1
1439958300,20210,20210,20210,20210,3
1439958600,20160,20160,20150,20150,9
1439958900,20180,20180,20180,20180,1
1439959200,20180,20180,20160,20160,2
1439959800,20160,20160,20160,20160,2
1439960400,20170,20170,20170,20170,2
1439961300,20150,20150,20130,20130,7
1439962200,20170,20170,20170,20170,2
1439962500,20170,20170,20170,20170,1
1439962800,20130,20130,20130,20130,1
1439963100,20130,20130,20130,20130,1
1439963700,20110,20110,20110,20110,2
1439964000,20090,20090,20080,20080,3
1439964300,20090,20090,20090,20090,2
1439964900,20110,20110,20110,20110,1
1439971200,20140,20140,20130,20130,2
1439972400,20120,20120,20120,20120,1
1439973300,20120,20120,20120,20120,1
1439974500,20120,20120,20120,20120,1
1439975700,20150,20150,20140,20140,3
1439976300,20150,20170,20150,20170,2
