time,open,high,low,close,Volume
1205897400,11790,11790,11790,11790,10
1206079800,12180,12180,12180,12180,5
1206316800,12270,12270,12270,12270,5
1206415800,12470,12470,12470,12470,1
1206418500,12500,12500,12500,12500,1
1206420300,12660,12660,12660,12660,1
1206576000,12620,12620,12620,12620,1
1206579000,12470,12470,12470,12470,1
1206593100,12480,12480,12480,12480,1
1206678600,12800,12800,12800,12800,1
1206934200,12600,12600,12600,12600,10
1206935700,12510,12510,12510,12510,1
1206943500,12460,12460,12460,12460,2
1206948600,12460,12460,12460,12460,10
1207094400,13100,13100,13050,13050,2
1207110000,13080,13080,13080,13080,1
1207631100,13280,13280,13280,13280,1
1207632600,13120,13120,13120,13120,1
1207785600,12950,12950,12950,12950,1
1208390400,13340,13340,13340,13340,10
1208403000,13350,13350,13350,13350,10
1208404200,13360,13360,13360,13360,1
1208757300,13650,13650,13650,13650,1
1208911200,13500,13500,13500,13500,1
1208995200,13590,13590,13590,13590,1
1209340800,13880,13880,13840,13840,2
1209343500,13920,13920,13910,13910,27
1209344400,13900,13900,13900,13900,1
1209353400,13880,13960,13880,13960,3
1209513600,13760,13760,13760,13760,2
1209703200,14020,14020,14020,14020,7
1210132200,14000,14000,14000,14000,1
1210657800,13590,13590,13590,13590,1
1210723200,13940,13940,13940,13940,3
1210723500,13860,13860,13860,13860,1
1210742400,14000,14020,14000,14020,4
1211167800,14200,14200,14200,14200,1
1211172000,14280,14280,14280,14280,1
1211254200,14130,14130,14130,14130,1
1211947800,13740,13740,13740,13740,1
1211948100,13740,13740,13740,13740,1
1213315200,13720,13720,13720,13720,1
1213337400,13970,13970,13970,13970,1
1213581300,13890,13890,13890,13890,2
1213587300,14250,14250,14250,14250,1
1213768500,14420,14420,14340,14340,4
1213936500,13860,13860,13860,13860,1
1213936800,13860,13860,13860,13860,1
1213940100,13890,13890,13890,13890,2
1213940400,13970,13970,13970,13970,1
1214373900,13680,13680,13680,13680,1
1214438400,13920,13920,13920,13920,1
1214784000,13380,13380,13380,13380,1
1215043200,13040,13040,13040,13040,1
1215129600,13110,13110,13110,13110,1
1216355100,12860,12860,12860,12860,1
1216874100,13470,13470,13470,13470,1
1217993400,12730,12730,12730,12730,2
1219046400,13070,13070,13070,13070,1
1219047300,12990,12990,12990,12990,1
1219107900,12690,12690,12690,12690,1
1219108500,12750,12750,12750,12750,1
1219121700,12800,12800,12800,12800,1
1219123500,12730,12730,12730,12730,1
1219363800,12550,12550,12550,12550,1
1219710300,12680,12680,12680,12680,1
1219812900,12700,12700,12700,12700,1
1219968300,12580,12580,12580,12580,1
1219968600,12900,12900,12900,12900,1
1219972800,12820,12820,12820,12820,1
1219974900,12940,12940,12940,12940,1
1219980600,12910,12910,12910,12910,1
1219989900,12990,12990,12990,12990,1
1220574600,12080,12080,12080,12080,1
1220592300,12140,12140,12140,12140,3
1221104400,12080,12080,12080,12080,1
1221124200,12020,12020,12020,12020,1
1221125100,11980,11980,11980,11980,1
1221126900,11960,11960,11960,11960,1
1221180000,12120,12120,12120,12120,1
1221181200,12150,12150,12150,12150,1
1221191400,12030,12030,12030,12030,1
1221192300,12020,12020,12000,12000,2
1221197700,12130,12130,12130,12130,1
1221198000,12130,12130,12130,12130,1
1221204900,12130,12130,12130,12130,1
1221523200,11570,11570,11570,11570,10
1221523800,11570,11570,11570,11570,1
1221524700,11510,11510,11510,11510,1
1221531000,11479.3,11479.3,11479.3,11479.3,2
1221537300,11540,11540,11500,11500,4
1221537600,11500,11500,11490,11490,2
1221538500,11490,11490,11490,11490,1
1221541800,11490,11490,11490,11490,1
1221555300,11530,11530,11530,11530,1
1221557100,11570,11570,11570,11570,2
1221558300,11580,11580,11580,11580,1
1221609600,11720,11720,11720,11720,1
1221609900,11700,11700,11700,11700,1
1221610200,11710,11730,11710,11730,4
1221614700,11740,11740,11740,11740,1
1221615600,11740,11740,11740,11740,1
1221615900,11750,11750,11750,11750,1
1221641400,11620,11620,11620,11620,1
1221696000,11290,11290,11290,11290,5
1221698700,11340,11340,11340,11340,1
1221699000,11330,11330,11330,11330,2
1221702900,11300,11300,11300,11300,1
1221708600,11300,11300,11260,11260,3
1221708900,11260,11260,11240,11240,3
1221709200,11220,11220,11220,11220,1
1221710400,11240,11240,11240,11240,1
1221716700,11430,11430,11430,11430,1
1221731400,11480,11480,11480,11480,3
1221782400,11710,11710,11710,11710,2
1221782700,11720,11720,11720,11720,1
1221784200,11690,11690,11690,11690,2
1221784500,11700,11700,11700,11700,3
1221784800,11740,11740,11740,11740,1
1221785100,11710,11720,11710,11720,3
1221785400,11730,11730,11730,11730,2
1221787500,11730,11730,11730,11730,1
1221799800,11780,11780,11780,11780,1
1221803700,11800,11800,11800,11800,1
1221804000,11820,11820,11820,11820,3
1221815700,12020,12020,12020,12020,1
1221816300,12020,12020,12020,12020,2
1222041600,12200,12210,12200,12210,3
1222045200,12070,12070,12070,12070,5
1222045500,12070,12070,12050,12050,7
1222047600,12080,12080,12080,12080,2
1222054800,12080,12080,12080,12080,1
1222214400,11950,11950,11950,11950,2
1222214700,11900,11900,11900,11900,2
1222215300,11900,11900,11900,11900,1
1222215600,11860,11860,11860,11860,1
1222227000,11890,11890,11890,11890,1
1222227300,11910,11910,11910,11910,1
1222228200,11950,11950,11950,11950,1
1222228500,11960,11960,11960,11960,1
1222241700,12080,12080,12080,12080,1
1222320600,12020,12020,12020,12020,1
1222387500,12050,12050,12050,12050,1
1222388700,12030,12030,12030,12030,1
1222389000,12020,12020,12020,12020,1
1222400700,11900,11900,11900,11900,1
1222408800,11910,11910,11910,11910,1
1222409100,11940,11940,11940,11940,1
1222646400,11950,11950,11950,11950,1
1222663800,11850,11850,11850,11850,1
1222666800,11800,11800,11800,11800,1
1222733100,11070,11070,11070,11070,6
1222734000,11180,11180,11180,11180,1
1222752900,11380,11380,11380,11380,1
1222831800,11340,11340,11340,11340,1
1222918200,11280,11280,11280,11280,2
1222992000,11170,11170,11170,11170,3
1222992300,11170,11170,11170,11170,2
1222997100,11040,11040,11040,11040,1
1222997700,11030,11030,11030,11030,1
1223010000,10980,10980,10980,10980,1
1223251200,10760,10760,10760,10760,1
1223257500,10570,10570,10570,10570,1
1223264100,10590,10590,10590,10590,1
1223265300,10590,10590,10590,10590,1
1223266200,10460,10460,10450,10460,6
1223266800,10450,10450,10450,10450,4
1223267100,10480,10480,10480,10480,2
1223267700,10480,10480,10480,10480,1
1223268000,10400,10400,10400,10400,1
1223268300,10400,10400,10400,10400,2
1223269500,10420,10420,10420,10420,1
1223269800,10420,10420,10420,10420,1
1223270100,10450,10450,10450,10450,1
1223278200,10450,10450,10450,10450,5
1223286900,10270,10270,10270,10270,1
1223337600,10010,10010,10010,10010,2
1223337900,10050,10050,10050,10050,1
1223338800,9930,9930,9930,9930,1
1223339100,9940,9940,9940,9940,1
1223340000,10060,10100,10060,10100,3
1223340900,10120,10120,10120,10120,1
1223341200,10100,10100,10100,10100,1
1223342700,10150,10150,10150,10150,1
1223343300,10200,10200,10200,10200,1
1223343600,10240,10240,10240,10240,1
1223343900,10230,10230,10230,10230,1
1223350200,10240,10240,10240,10240,1
1223351100,10250,10250,10250,10250,1
1223351400,10280,10280,10280,10280,1
1223353500,10280,10280,10280,10280,1
1223354100,10260,10260,10260,10260,1
1223355000,10220,10220,10220,10220,1
1223371800,9990,9990,9990,9990,1
1223373600,9970,9970,9970,9970,1
1223424600,9780,9780,9780,9780,1
1223428800,9720,9720,9720,9720,1
1223429100,9700,9700,9700,9700,1
1223429400,9720,9720,9720,9720,1
1223440200,9540,9540,9540,9540,1
1223445000,9150,9150,9150,9150,2
1223452500,9050,9050,9040,9050,14
1223457900,9060,9060,9060,9060,1
1223458500,9020,9020,9020,9020,1
1223512200,9230,9230,9230,9230,1
1223514300,9110,9110,9110,9110,1
1223524800,9370,9370,9370,9370,2
1223527200,9370,9370,9320,9320,2
1223527500,9320,9320,9320,9320,1
1223538300,9280,9280,9280,9280,5
1223539200,9270,9270,9270,9270,1
1223539500,9270,9270,9270,9270,4
1223597100,8250,8250,8180,8180,24
1223598000,8150,8150,8120,8120,2
1223598300,7950,7950,7950,7950,6
1223604600,8060,8060,8060,8060,2
1223610300,8160,8160,8160,8160,2
1223630100,7740,7740,7740,7740,1
1223630400,7780,7780,7780,7780,1
1223631000,7720,7720,7660,7660,3
1223632200,7770,7780,7750,7780,3
1223943000,9300,9300,9300,9300,6
1223943900,9220,9220,9220,9220,1
1223948700,9440,9440,9440,9440,1
1223950200,9274.12,9274.12,9274.12,9274.12,2
1224028800,9250,9250,9250,9250,1
1224115500,8280,8280,8280,8280,2
1224116400,8370,8370,8370,8370,4
1224118800,8580,8580,8580,8580,1
1224124500,8577.11,8577.11,8577.11,8577.11,2
