time,open,high,low,close,Volume
1276660500,10000,10000,10000,10000,1
1276665900,9990,9990,9990,9990,1
1276824300,9940,9940,9940,9940,1
1276850100,9890,9890,9890,9890,1
1277079900,10050,10050,10050,10050,1
1277080200,10020,10020,10020,10020,1
1277164800,10040,10040,10040,10040,1
1277178000,10040,10040,10040,10040,1
1277185800,10000,10000,10000,10000,1
1277199000,9980,9980,9980,9980,1
1277251200,9860,9860,9860,9860,2
1277253600,9840,9840,9840,9840,1
1277271000,9810,9810,9810,9810,1
1277278500,9850,9850,9850,9850,1
1277364600,9800,9800,9780,9780,2
1277439600,9630,9630,9630,9630,1
1277445900,9630,9630,9630,9630,1
1277685600,9600,9600,9600,9600,1
1277702400,9600,9600,9600,9600,1
1277772600,9650,9650,9650,9650,1
1277782200,9590,9590,9590,9590,1
1277798700,9430,9430,9430,9430,1
1277856000,9280,9280,9280,9280,2
1277874600,9280,9280,9280,9280,1
1277889300,9220,9220,9220,9220,1
1278032700,9100,9100,9100,9100,1
1278068100,9060,9060,9060,9060,1
1278288000,9060,9060,9060,9060,2
1278461100,9200,9200,9200,9200,1
1278547200,9430,9430,9430,9430,1
1278561000,9380,9380,9380,9380,2
1278633600,9470,9470,9470,9470,1
1278635700,9460,9460,9460,9460,1
1278981300,9500,9500,9500,9500,1
1279071900,9640,9640,9640,9640,2
1279084200,9700,9700,9700,9700,1
1279100400,9650,9650,9650,9650,1
1279670400,9240,9240,9240,9240,3
1279673700,9250,9250,9220,9220,4
1279691400,9160,9160,9160,9160,1
1279808400,9240,9240,9240,9240,1
1279858500,9270,9270,9270,9270,1
1279858800,9330,9330,9330,9330,1
1280116200,9390,9390,9390,9390,1
1280124000,9400,9400,9400,9400,1
1280193300,9410,9410,9410,9410,1
1280217000,9430,9430,9430,9430,1
1280217900,9430,9430,9430,9430,1
1280287800,9600,9600,9600,9600,3
1280361600,9540,9540,9540,9540,1
1280448000,9520,9520,9520,9520,1
1280448300,9560,9560,9560,9560,1
1280448900,9500,9500,9500,9500,1
1280450100,9480,9480,9480,9480,1
1280709900,9520,9520,9520,9520,1
1280795100,9600,9600,9600,9600,1
1280806200,9540,9540,9540,9540,1
1280880300,9450,9450,9450,9450,2
1280886000,9450,9450,9450,9450,1
1280892900,9340,9340,9340,9340,1
1281011400,9510,9510,9510,9510,1
1281053100,9470,9470,9470,9470,1
1281065400,9520,9520,9520,9520,1
1281334500,9521.16,9521.16,9521.16,9521.16,1
