time,open,high,low,close,Volume
1466148600,15400,15400,15400,15400,2
1466150100,15390,15390,15380,15380,19
1466153700,15400,15400,15400,15400,1
1466154000,15390,15390,15390,15390,2
1466154300,15400,15410,15400,15410,7
1466163000,15370,15370,15370,15370,1
1466163600,15390,15390,15390,15390,1
1466170200,15370,15370,15350,15350,2
1466173800,15330,15330,15330,15330,1
1466174700,15350,15350,15350,15350,1
1466176200,15300,15300,15300,15300,1
1466176800,15310,15310,15310,15310,3
1466179500,15370,15370,15370,15370,1
1466180100,15380,15380,15380,15380,1
1466180700,15380,15380,15380,15380,2
1466183700,15410,15410,15410,15410,1
1466185200,15430,15430,15430,15430,1
1466380800,15690,15710,15690,15700,13
1466381100,15710,15710,15700,15710,11
1466381400,15700,15710,15690,15700,8
1466381700,15710,15790,15710,15790,7
1466382000,15780,15800,15780,15800,14
1466382300,15800,15810,15790,15810,5
1466382600,15800,15810,15790,15810,4
1466382900,15840,15850,15840,15840,3
1466383200,15830,15840,15830,15840,2
1466383500,15820,15820,15820,15820,1
1466383800,15810,15810,15810,15810,1
1466384100,15820,15820,15800,15800,6
1466384400,15810,15810,15790,15790,3
1466384700,15790,15790,15780,15780,5
1466385000,15800,15800,15800,15800,1
1466385300,15830,15830,15810,15810,2
1466385900,15790,15810,15790,15810,3
1466386200,15780,15780,15770,15770,5
1466386500,15780,15780,15780,15780,1
1466386800,15780,15780,15770,15770,3
1466387100,15770,15770,15770,15770,1
1466387400,15780,15780,15780,15780,1
1466387700,15770,15770,15760,15770,3
1466388000,15740,15760,15740,15760,4
1466388300,15750,15750,15750,15750,1
1466388600,15730,15730,15730,15730,1
1466388900,15730,15750,15720,15750,4
1466389200,15760,15760,15760,15760,1
1466389500,15770,15770,15760,15760,3
1466391000,15770,15770,15770,15770,1
1466391300,15770,15770,15770,15770,1
1466391900,15760,15760,15760,15760,1
1466392800,15760,15760,15760,15760,1
1466393400,15730,15730,15730,15730,2
1466394000,15740,15740,15740,15740,3
1466394300,15770,15770,15770,15770,1
1466394600,15780,15780,15780,15780,2
1466395500,15800,15800,15800,15800,1
1466395800,15800,15800,15800,15800,1
1466396400,15750,15750,15750,15750,3
1466396700,15780,15780,15780,15780,1
1466397600,15800,15800,15800,15800,2
1466397900,15800,15800,15780,15780,3
1466398800,15810,15820,15810,15820,6
1466399100,15830,15830,15830,15830,1
1466399700,15800,15800,15800,15800,1
1466400600,15800,15800,15800,15800,2
1466401200,15810,15810,15810,15810,1
1466401800,15810,15810,15790,15790,2
1466402100,15800,15800,15800,15800,1
1466402400,15800,15810,15800,15810,16
1466407800,15840,15850,15840,15840,9
1466408100,15850,15850,15840,15840,5
1466409000,15840,15840,15840,15840,1
1466409900,15800,15800,15800,15800,1
1466410500,15810,15810,15810,15810,1
1466411400,15830,15830,15830,15830,1
1466412300,15820,15820,15820,15820,1
1466412900,15840,15840,15840,15840,2
1466413500,15840,15840,15840,15840,1
1466413800,15840,15840,15840,15840,1
1466415600,15810,15810,15810,15810,2
1466415900,15810,15810,15800,15800,2
1466417100,15820,15820,15820,15820,1
1466418600,15820,15820,15820,15820,1
1466418900,15820,15820,15820,15820,1
1466422500,15840,15840,15840,15840,1
1466424000,15840,15840,15840,15840,4
1466425500,15830,15830,15830,15830,1
1466430000,15860,15860,15860,15860,1
1466430300,15880,15880,15880,15880,2
1466430900,15870,15880,15870,15880,2
1466431200,15910,15910,15910,15910,2
1466431500,15930,15930,15910,15910,2
1466431800,15910,15910,15910,15910,1
1466432700,15920,15920,15910,15910,2
1466433300,15910,15910,15910,15910,1
1466434800,15880,15880,15880,15880,1
1466435100,15900,15910,15900,15910,3
1466437200,15890,15890,15890,15890,1
1466438100,15850,15850,15850,15850,1
1466438700,15850,15850,15850,15850,1
1466439000,15850,15850,15850,15850,1
1466439600,15870,15870,15870,15870,2
1466439900,15860,15860,15860,15860,1
1466440800,15860,15860,15860,15860,1
1466442600,15800,15800,15790,15790,2
1466443500,15770,15770,15770,15770,1
1466443800,15760,15760,15760,15760,1
1466467200,15680,15680,15620,15640,25
1466467500,15630,15640,15610,15610,11
1466467800,15610,15630,15590,15590,16
1466468100,15630,15650,15630,15650,6
1466468400,15670,15670,15670,15670,2
1466468700,15690,15720,15690,15720,3
1466469000,15730,15730,15720,15720,3
1466469300,15740,15740,15740,15740,5
1466470200,15750,15750,15750,15750,2
1466470500,15750,15750,15750,15750,5
1466471700,15790,15790,15780,15780,2
1466472000,15770,15770,15770,15770,1
1466472300,15790,15790,15790,15790,1
1466472900,15800,15800,15800,15800,1
1466473500,15810,15810,15810,15810,1
1466473800,15830,15860,15830,15860,3
1466474100,15870,15870,15870,15870,4
1466474400,15870,15870,15860,15860,4
1466475600,15860,15860,15860,15860,1
1466475900,15860,15860,15860,15860,2
1466476200,15870,15870,15870,15870,1
1466476500,15850,15850,15850,15850,1
1466477700,15850,15850,15850,15850,1
1466479200,15850,15850,15830,15850,5
1466479800,15850,15850,15850,15850,2
1466480100,15830,15850,15830,15840,6
1466481300,15870,15870,15870,15870,1
1466482200,15860,15860,15860,15860,1
1466482500,15860,15860,15860,15860,1
1466483400,15860,15870,15850,15870,21
1466483700,15890,15890,15890,15890,1
1466484000,15900,15900,15900,15900,1
1466484300,15920,15920,15920,15920,3
1466484600,15940,15950,15940,15950,3
1466484900,15960,15960,15960,15960,1
1466485200,15990,15990,15970,15970,4
1466485500,15970,15990,15970,15990,3
1466485800,16000,16010,16000,16000,6
1466486100,16000,16000,15990,15990,3
1466486700,15990,15990,15990,15990,1
1466487000,15990,16000,15990,16000,4
1466487300,16000,16010,16000,16010,5
1466487600,16020,16020,16020,16020,31
1466487900,16020,16020,16020,16020,1
1466488200,16020,16020,16000,16000,2
1466488500,15990,15990,15980,15980,2
1466489100,16010,16030,16010,16030,7
1466489700,16030,16030,16030,16030,1
1466494200,16050,16060,16050,16060,6
1466495400,16060,16060,16060,16060,2
1466496300,16040,16040,16040,16040,1
1466496900,16050,16050,16050,16050,5
1466497500,16050,16050,16050,16050,1
1466497800,16050,16050,16050,16050,2
1466499900,16050,16050,16050,16050,3
1466500500,16030,16030,16030,16030,1
1466501100,16010,16010,16010,16010,1
1466502900,16000,16000,16000,16000,1
1466504400,16050,16050,16050,16050,1
1466505000,16050,16050,16050,16050,1
1466505900,16050,16050,16050,16050,30
1466506200,16070,16070,16070,16070,1
1466510700,16060,16060,16050,16050,2
1466512200,16010,16010,16010,16010,34
1466512500,15990,15990,15990,15990,1
1466513700,16000,16000,16000,16000,1
1466514600,16030,16030,16030,16030,1
1466515200,16000,16000,16000,16000,1
1466515500,16000,16000,16000,16000,10
1466517900,15960,15960,15960,15960,1
1466518200,16020,16020,16020,16020,1
1466518800,16010,16010,16010,16010,4
1466521200,16020,16020,16020,16020,2
1466522100,16050,16050,16050,16050,1
1466523600,16010,16010,16010,16010,1
1466523900,16000,16000,16000,16000,1
1466529300,16040,16040,16040,16040,1
1466553600,15930,15950,15900,15950,12
1466553900,15950,15950,15940,15940,4
1466554200,15900,15910,15900,15910,2
1466554800,15900,15900,15890,15890,3
1466555100,15900,15900,15900,15900,2
1466555400,15890,15890,15890,15890,1
1466555700,15890,15890,15890,15890,2
1466556600,15850,15850,15840,15840,4
1466556900,15850,15850,15850,15850,3
1466557200,15820,15840,15820,15840,25
1466557500,15840,15840,15840,15840,1
1466557800,15840,15840,15840,15840,1
1466558400,15870,15890,15870,15880,4
1466558700,15890,15890,15880,15880,3
1466559000,15860,15860,15860,15860,1
1466559300,15840,15840,15840,15840,1
